row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.220.376,1.728.481,4.948.857,3220376.0,1728481.0,4948857.0
Tăng do mua mới và nâng cấp,Nguyên giá > Tăng do mua mới và nâng cấp,Tăng do mua mới và nâng cấp,-,9.827,9.827,,9827.0,9827.0
Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản và mua sắm tài sản cố định,89.808,94.072,183.880,89808.0,94072.0,183880.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(711.780),(2.800),(714.580),-711780.0,-2800.0,-714580.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,2.598.404,1.829.580,4.427.984,2598404.0,1829580.0,4427984.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,242.753,1.154.389,1.397.142,242753.0,1154389.0,1397142.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,19.539,201.086,220.625,19539.0,201086.0,220625.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(198.504),(2.765),(201.269),-198504.0,-2765.0,-201269.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,63.788,1.352.710,1.416.498,63788.0,1352710.0,1416498.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.977.623,574.092,3.551.715,2977623.0,574092.0,3551715.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.534.616,476.870,3.011.486,2534616.0,476870.0,3011486.0
