row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận chuyểnTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận chuyểnTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,3.749.942,2.554.570,716.546,317.047,7.338.105,3749942.0,2554570.0,716546.0,317047.0,7338105.0
Tăng do mua mới,Nguyên giá > Tăng do mua mới,Tăng do mua mới,2.535,89.873,45.108,9.675,147.191,2535.0,89873.0,45108.0,9675.0,147191.0
Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,Nguyên giá > Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,Kết chuyển từ đầu tư xây dựng cơ bản vàmua sắm tài sản cố định,74.590,380.737,54.035,8.269,517.631,74590.0,380737.0,54035.0,8269.0,517631.0
Tăng do nâng cấp,Nguyên giá > Tăng do nâng cấp,Tăng do nâng cấp,321,3.794,-,461,4.576,321.0,3794.0,,461.0,4576.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(438.266),(97.614),(42.088),(10.752),(588.720),-438266.0,-97614.0,-42088.0,-10752.0,-588720.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.389.122,2.931.360,773.601,324.700,7.418.783,3389122.0,2931360.0,773601.0,324700.0,7418783.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,896.689,1.585.745,385.711,144.137,3.012.282,896689.0,1585745.0,385711.0,144137.0,3012282.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,90.936,234.918,62.224,27.826,415.904,90936.0,234918.0,62224.0,27826.0,415904.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(199.752),(93.996),(41.637),(9.777),(345.162),-199752.0,-93996.0,-41637.0,-9777.0,-345162.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,787.873,1.726.667,406.298,162.186,3.083.024,787873.0,1726667.0,406298.0,162186.0,3083024.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,2.853.253,968.825,330.835,172.910,4.325.823,2853253.0,968825.0,330835.0,172910.0,4325823.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,2.601.249,1.204.693,367.303,162.514,4.335.759,2601249.0,1204693.0,367303.0,162514.0,4335759.0
