row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,1.703.601,37.337.720,-,-,-,-,-,-,39.041.321,1703601.0,37337720.0,,,,,,,39041321.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,10.699.559,77.599.036,194.599.230,260.044.851,2.442.394,4.879.514,28.566.019,30.553.588,609.384.191,10699559.0,77599036.0,194599230.0,260044851.0,2442394.0,4879514.0,28566019.0,30553588.0,609384191.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ vàNHNN Việt Nam,Nợ phải trả > Các khoản nợ Chính phủ vàNHNN Việt Nam,Các khoản nợ Chính phủ vàNHNN Việt Nam,-,-,1.970.203,7.914.506,750,1.500,14.250,-,9.901.209,,,1970203.0,7914506.0,750.0,1500.0,14250.0,,9901209.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,23.747.977,5.108.908,805.241,372.776,-,-,30.034.902,,,23747977.0,5108908.0,805241.0,372776.0,,,30034902.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,,728.190,168.829.913,71.854.770,105.260.098,90.882.809,12.485.374,16.207,450.057.361,,728190.0,168829913.0,71854770.0,105260098.0,90882809.0,12485374.0,16207.0,450057361.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,674.700,3.325.011,4.836.416,11.677.058,5.307.122,-,25.820.307,,,674700.0,3325011.0,4836416.0,11677058.0,5307122.0,,25820307.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,33.394.448,-,-,-,-,-,-,33.394.448,,33394448.0,,,,,,,33394448.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,34.122.638,195.222.793,88.203.195,110.902.505,102.934.143,17.806.746,16.207,549.208.227,,34122638.0,195222793.0,88203195.0,110902505.0,102934143.0,17806746.0,16207.0,549208227.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,10.699.559,43.476.398,(623.563),171.841.656,(108.460.111),(98.054.629),10.759.273,30.537.381,60.175.964,10699559.0,43476398.0,-623563.0,171841656.0,-108460111.0,-98054629.0,10759273.0,30537381.0,60175964.0
