row_label_raw,row_label_full,col_0,Dự phòng cụ thểTriệu đồng,Dự phòng chungTriệu đồng,Tổng cộngTriệu đồng,numeric__Dự phòng cụ thểTriệu đồng,numeric__Dự phòng chungTriệu đồng,numeric__Tổng cộngTriệu đồng
Ngày 1 tháng 1 năm 2022,Ngày 1 tháng 1 năm 2022,Ngày 1 tháng 1 năm 2022,95.053(73.920),2.144(1.209),97.197(75.129),,,
Số hoàn nhập trong năm,Số hoàn nhập trong năm,Số hoàn nhập trong năm,95.053(73.920),2.144(1.209),97.197(75.129),,,
Ngày 31 tháng 12 năm 2022,Số hoàn nhập trong năm > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,21.133,935,22.068,21133.0,935.0,22068.0
