row_label_raw,row_label_full,STT,Tên công ty,Dịa chỉ,Hoạt động chính,31/12/2022 > Tỷ lệ biểu quyết,31/12/2022 > Tỷ lệ sở hữu,31/12/2022 > Giá trị đầu tư theo phương pháp vốn chủ VND,31/12/2022 > Dự phòng VND,1/1/2022 > Giá trị hợp lý VND,1/1/2022 > Tỷ lệ biểu quyết,1/1/2022 > Tỷ lệ sở hữu,1/1/2022 > Giá trị đầu tư theo phương pháp vốn chủ VND,Giá trị hợp lý VND,numeric__Tên công ty,numeric__Dịa chỉ,numeric__Hoạt động chính,numeric__31/12/2022 > Tỷ lệ biểu quyết,numeric__31/12/2022 > Tỷ lệ sở hữu,numeric__31/12/2022 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__31/12/2022 > Dự phòng VND,numeric__1/1/2022 > Giá trị hợp lý VND,numeric__1/1/2022 > Tỷ lệ biểu quyết,numeric__1/1/2022 > Tỷ lệ sở hữu,numeric__1/1/2022 > Giá trị đầu tư theo phương pháp vốn chủ VND,numeric__Giá trị hợp lý VND
Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,Công ty liên doanh,,,,,,,,,,,,
1,Công ty liên doanh > 1,1,Công ty TNHH Castrol BP-PETCO Việt Nam,TP. Hồ Chí Minh,Chế biển các sản phẩm dầu nhôn,35%,35%,265.066.344.762,-,(*),35%,35%,368.261.675.059,-,,,,0.35,0.35,265066344762.0,,,0.35,0.35,368261675059.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,,,,,,,
1,Công ty liên kết > 1,1,Ngân hàng TMCP Xăng dầu Petrolimex,Hà Nội,Kinh doanh dịch vụ ngăn hàng,40%,40%,1.833.811.196.377,-,1.914.000.000.000,40%,40%,1.672.338.399.204,-,,,,0.4,0.4,1833811196377.0,,1914000000000.0,0.4,0.4,1672338399204.0,
2,Công ty liên kết > 2,2,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Hà Nội,Kinh doanh bảo hiểm,41%,41%,688.138.521.286,-,1.216.994.110.400,41%,41%,728.048.033.804,-,,,,0.41,0.41,688138521286.0,,1216994110400.0,0.41,0.41,728048033804.0,
3,Công ty liên kết > 3,3,Công ty Cổ phần Thương mại Kiên Giang,Kiên Giang,"Nông sản, xăng đầu",39%,39%,157.799.998.318,-,(*),39%,39%,157.560.856.938,-,,,,0.39,0.39,157799998318.0,,,0.39,0.39,157560856938.0,
4,Công ty liên kết > 4,4,Công ty Cổ phần Dịch vụ Đường cao tốc Việt Nam,Hà Nội,"Dầu tư, xây dựng, khai thác, quản lý và báo trị hệ thống dưỡng cao tốc quốc gia",22%,22%,20.666.682.577,-,(*),22%,22%,21.127.799.429,-,,,,0.22,0.22,20666682577.0,,,0.22,0.22,21127799429.0,
5,Công ty liên kết > 5,5,Công ty Cổ phần Thương mại Tuyên Quang,Tuyên Quang,Kinh doanh thương mại,28%,28%,2.091.995.284,-,(*),28%,28%,2.687.170.871,-,,,,0.28,0.28,2091995284.0,,,0.28,0.28,2687170871.0,
6,Công ty liên kết > 6,6,Công ty Cổ phần Vương Mê Kông,Tiền Giang,Mua bán hàng hóa,-,-,-,-,-,31%,31%,9.900.000.000,(2.057.703.947),,,,,,,,,0.31,0.31,9900000000.0,-2057703947.0
7,Công ty liên kết > 7,7,Công ty Cổ phần Thương mại Dịch vụ Sửa chữa Ô tô Việt Nam (i),Hà Nội,Mua bán hàng hóa,40%,40%,1.800.000.000,(688.673.145),(*),40%,40%,1.800.000.000,(736.211.252),,,,0.4,0.4,1800000000.0,-688673145.0,,0.4,0.4,1800000000.0,-736211252.0
8,Công ty liên kết > 8,8,Công ty Cổ phần Cơ khí Xăng dầu,TP. Hồ Chí Minh,"Kinh doanh các loại vật tư, thiết bị xăng dầu",46%,46%,79.972.517.421,-,(*),46%,46%,78.765.840.711,-,,,,0.46,0.46,79972517421.0,,,0.46,0.46,78765840711.0,
9,Công ty liên kết > 9,9,Công ty Cổ phần Tập đoàn Xây lắp 1 - Petrolimex,Hà Nội,Xây lắp,30%,30%,70.184.752.159,-,(*),30%,30%,71.852.461.253,-,,,,0.3,0.3,70184752159.0,,,0.3,0.3,71852461253.0,
10,Công ty liên kết > 10,10,Công ty Cổ phần Xây lắp III - Petrolimex,TP. Hồ Chí Minh,Xây lắp,30%,30%,25.369.086.950,-,(*),30%,30%,25.244.943.145,-,,,,0.3,0.3,25369086950.0,,,0.3,0.3,25244943145.0,
,,,,,,,,3.144.901.095.134,(688.673.145),,,,3.137.587.180.414,(2.793.915.199),,,,,,3144901095134.0,-688673145.0,,,,3137587180414.0,-2793915199.0
