row_label_raw,row_label_full,"Tiền thu từ nhận góp vốn của chủ sở hữu, chuyển nhượng cổ phiếu quỹ",31,-,2.952.954.993.225,numeric__31,numeric__-,numeric__2.952.954.993.225
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,95.830.465.664.336,69.085.427.413.000,33.0,95830465664336.0,69085427413000.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(96.791.209.918.518),(69.732.810.577.352),34.0,-96791209918518.0,-69732810577352.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,36,(1.745.540.077.268),(1.619.733.228.598),36.0,-1745540077268.0,-1619733228598.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(2.706.284.331.450),685.838.600.275,40.0,-2706284331450.0,685838600275.0
