row_label_raw,row_label_full,col_0,Võ bình gas VND,Lợi thế kinh doanh liên quan đến cổ phần hóa VND,Chi phí đất trả trước VND,Chi phí sửa chữa lớn tài sản VND,Công cụ và dụng cụ VND,Chi phí trả trước dài hạn khác VND,Tổng cộng VND,numeric__Võ bình gas VND,numeric__Lợi thế kinh doanh liên quan đến cổ phần hóa VND,numeric__Chi phí đất trả trước VND,numeric__Chi phí sửa chữa lớn tài sản VND,numeric__Công cụ và dụng cụ VND,numeric__Chi phí trả trước dài hạn khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,213.029.229.457,9.635.619.991,1.601.827.151.855,206.790.212.705,119.114.960.458,462.780.769.565,2.613.177.944.031,213029229457.0,9635619991.0,1601827151855.0,206790212705.0,119114960458.0,462780769565.0,2613177944031.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,62.566.327.056,-,133.710.351.581,109.345.395.187,99.181.379.813,178.361.736.663,583.165.190.300,62566327056.0,,133710351581.0,109345395187.0,99181379813.0,178361736663.0,583165190300.0
Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,23.559.335.336,83.754.097.341,3.680.810.076,18.346.233.702,129.340.476.455,,,23559335336.0,83754097341.0,3680810076.0,18346233702.0,129340476455.0
Thanh lý và xóa số,Thanh lý và xóa số,Thanh lý và xóa số,(48.288.258),-,-,-,(19.216.042),(28.044.855),(95.549.155),-48288258.0,,,,-19216042.0,-28044855.0,-95549155.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(51.550.242.643),-,(74.826.910.481),(176.353.266.772),(108.691.116.108),(244.621.538.455),(656.043.074.459),-51550242643.0,,-74826910481.0,-176353266772.0,-108691116108.0,-244621538455.0,-656043074459.0
Phân loại lại,Phân loại lại,Phân loại lại,-,(9.635.619.991),10.716.777.085,(1.177.409.482),(200.382.599),296.634.987,-,,-9635619991.0,10716777085.0,-1177409482.0,-200382599.0,296634987.0,
Biến động khác,Biến động khác,Biến động khác,(841.785.631),-,(15.622.265.257),206.987.047,1.121.766.136,1.871.637.272,(13.263.660.433),-841785631.0,,-15622265257.0,206987047.0,1121766136.0,1871637272.0,-13263660433.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,223.155.239.981,-,1.679.364.440.119,222.566.016.026,114.188.201.734,417.007.428.879,2.656.281.326.739,223155239981.0,,1679364440119.0,222566016026.0,114188201734.0,417007428879.0,2656281326739.0
