row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sáncố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sáncố định khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,14.918.805.639.801,4.797.243.221.332,13.833.742.352.839,766.105.482.898,38.136.597.949,34.354.033.294.819,14918805639801.0,4797243221332.0,13833742352839.0,766105482898.0,38136597949.0,34354033294819.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,57.449.327.995,143.148.278.740,240.325.156.806,81.297.493.230,739.770.777,522.960.027.548,57449327995.0,143148278740.0,240325156806.0,81297493230.0,739770777.0,522960027548.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,615.358.530.265,231.109.379.238,104.409.639.177,27.961.011.029,3.669.993.930,982.508.553.639,615358530265.0,231109379238.0,104409639177.0,27961011029.0,3669993930.0,982508553639.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(13.471.686.867),(886.596.844),2.737.754.138,(139.737.230),11.760.266.803,-,-13471686867.0,-886596844.0,2737754138.0,-139737230.0,11760266803.0,
Thanh lý và xóa số,Nguyên giá > Thanh lý và xóa số,Thanh lý và xóa số,(69.236.349.255),(36.645.483.515),(807.674.994.593),(8.831.601.278),(325.706.195),(922.714.134.836),-69236349255.0,-36645483515.0,-807674994593.0,-8831601278.0,-325706195.0,-922714134836.0
Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Nguyên giá > Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,(33.577.680.495),(15.734.331.034),(2.838.079.304),(2.032.302.329),2.904.195.901,(51.278.197.261),-33577680495.0,-15734331034.0,-2838079304.0,-2032302329.0,2904195901.0,-51278197261.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(75.367.228),1.328.366.800,(604.614.545),-,-,648.385.027,-75367228.0,1328366800.0,-604614545.0,,,648385027.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,15.475.252.414.216,5.119.562.834.717,13.370.097.214.518,864.360.346.320,56.885.119.165,34.886.157.928.936,15475252414216.0,5119562834717.0,13370097214518.0,864360346320.0,56885119165.0,34886157928936.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,8.182.208.116.510,3.586.379.520.067,9.408.863.372.150,639.817.224.374,23.607.871.044,21.840.876.104.145,8182208116510.0,3586379520067.0,9408863372150.0,639817224374.0,23607871044.0,21840876104145.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,736.317.931.203,337.435.893.578,861.920.150.793,87.522.676.373,6.208.498.865,2.029.405.150.812,736317931203.0,337435893578.0,861920150793.0,87522676373.0,6208498865.0,2029405150812.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(11.542.307.359),5.122.191.342,6.359.899.010,67.765.769,(7.548.762),-,-11542307359.0,5122191342.0,6359899010.0,67765769.0,-7548762.0,
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(62.451.783.890),(36.351.426.583),(806.988.331.328),(8.643.880.278),(285.490.891),(914.720.912.970),-62451783890.0,-36351426583.0,-806988331328.0,-8643880278.0,-285490891.0,-914720912970.0
