row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn – ngắn hạn,31/12/2022 > Giá gốc VND,31/12/2022 > Giá trị hợp lý VND,1/1/2022 > Giá gốc VND,1/1/2022 > Giá trị hợp lý VND,numeric__31/12/2022 > Giá gốc VND,numeric__31/12/2022 > Giá trị hợp lý VND,numeric__1/1/2022 > Giá gốc VND,numeric__1/1/2022 > Giá trị hợp lý VND
▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),▪ Tiền gửi có kỳ hạn (i),6.092.588.479.188,6.092.588.479.188,11.825.795.771.291,11.825.795.771.291,6092588479188.0,6092588479188.0,11825795771291.0,11825795771291.0
▪ Trái phiếu (ii),▪ Trái phiếu (ii),▪ Trái phiếu (ii),1.000.000.000.000,(*),-,-,1000000000000.0,,,
,,,7.092.588.479.188,(*),11.825.795.771.291,11.825.795.771.291,7092588479188.0,,11825795771291.0,11825795771291.0
Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,Đầu tư nắm giữ đến ngày đáo hạn – dài hạn,,,,,,,,
▪ Trái phiếu (iii),Đầu tư nắm giữ đến ngày đáo hạn – dài hạn > ▪ Trái phiếu (iii),▪ Trái phiếu (iii),3.200.000.000.000,(*),2.000.000.000.000,(*),3200000000000.0,,2000000000000.0,
