row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Bản quyền phần mềm VND,Phần mềm máy vi tính VND,Tài sản cố định vô hình khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Bản quyền phần mềm VND,numeric__Phần mềm máy vi tính VND,numeric__Tài sản cố định vô hình khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.390.787.085.705,20.105.001.400,588.222.116.485,47.029.224.006,3.046.143.427.596,2390787085705.0,20105001400.0,588222116485.0,47029224006.0,3046143427596.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,19.450.345.204,383.252.000,29.095.182.092,5.057.753.000,53.986.532.296,19450345204.0,383252000.0,29095182092.0,5057753000.0,53986532296.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,45.175.010.680,-,21.701.843.114,184.665.000,67.061.518.794,45175010680.0,,21701843114.0,184665000.0,67061518794.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(32.363.000),(3.143.467.200),3.175.830.200,-,-,-32363000.0,-3143467200.0,3175830200.0,,
Thanh lý và xóa sổ,Nguyên giá > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(787.241.500),(842.448.000),(3.461.593.501),-,(5.091.283.001),-787241500.0,-842448000.0,-3461593501.0,,-5091283001.0
Biến động khác,Nguyên giá > Biến động khác,Biến động khác,(4.741.400.302),-,-,434.843.640,(4.306.556.662),-4741400302.0,,,434843640.0,-4306556662.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.449.851.436.787,16.502.338.200,638.733.378.390,52.706.485.646,3.157.793.639.023,2449851436787.0,16502338200.0,638733378390.0,52706485646.0,3157793639023.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,239.594.737.183,16.907.276.553,499.716.230.644,24.294.521.231,780.512.765.611,239594737183.0,16907276553.0,499716230644.0,24294521231.0,780512765611.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,25.689.921.063,776.797.061,24.307.021.951,6.215.431.428,56.989.171.503,25689921063.0,776797061.0,24307021951.0,6215431428.0,56989171503.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,7.270.530,(2.968.800.088),2.887.135.558,74.394.000,-,7270530.0,-2968800088.0,2887135558.0,74394000.0,
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(141.632.999),(842.448.000),(3.453.127.501),-,(4.437.208.500),-141632999.0,-842448000.0,-3453127501.0,,-4437208500.0
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(43.435.949),-,(20.339.726),-,(63.775.675),-43435949.0,,-20339726.0,,-63775675.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,265.106.859.828,13.872.825.526,523.436.920.926,30.584.346.659,833.000.952.939,265106859828.0,13872825526.0,523436920926.0,30584346659.0,833000952939.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,2.151.192.348.522,3.197.724.847,88.505.885.841,22.734.702.775,2.265.630.661.985,2151192348522.0,3197724847.0,88505885841.0,22734702775.0,2265630661985.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.184.744.576.959,2.629.512.674,115.296.457.464,22.122.138.987,2.324.792.686.084,2184744576959.0,2629512674.0,115296457464.0,22122138987.0,2324792686084.0
