row_label_raw,row_label_full,Cho năm kết thúcngày 31 tháng 12 năm 2022,Việt NamVND,Ngoài Việt NamVND,Hợp nhấtVND,numeric__Việt NamVND,numeric__Ngoài Việt NamVND,numeric__Hợp nhấtVND
Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,109.862.209.337.080,31.547.065.123.552,141.409.274.460.632,109862209337080.0,31547065123552.0,141409274460632.0
Cho năm kết thúcngày 31 tháng 12 năm 2021,Cho năm kết thúcngày 31 tháng 12 năm 2021,Cho năm kết thúcngày 31 tháng 12 năm 2021,Việt NamVND,Ngoài Việt NamVND,Hợp nhấtVND,,,
Tổng doanh thu của bộ phận,Cho năm kết thúcngày 31 tháng 12 năm 2021 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,100.727.732.097.406,48.952.057.881.939,149.679.789.979.345,100727732097406.0,48952057881939.0,149679789979345.0
