row_label_raw,row_label_full,"Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:_1","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:_2","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:_3","Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:_4","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:_1","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:_2","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:_3","numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > Cấu trúc Tập đoànTại ngày 31 tháng 12 năm 2022, Tập đoàn có các công ty con sau:_4"
STT,STT,STT,Công ty con cấp 1,Hoạt động chính,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,Tỷ lệ lợi ích và quyền biểu quyết của Tập đoàn,,,,
STT,STT,STT,Công ty con cấp 1,Hoạt động chính,31/12/2022,1/1/2022,,,,
1,STT > 1,1,Công ty CP Gang thép Hòa Phát,"Đầu tư, sản xuất, kinh doanh thép xây dựng và các hoạt động phụ trợ.","99,998%","99,998%",,,0.9999800000000001,0.9999800000000001
2,STT > 2,2,Công ty CP Sản phẩm thép Hòa Phát,"Đầu tư, sản xuất, kinh doanh ống thép, tôn mạ màu và các hoạt động phụ trợ.","99,994%","99,994%",,,0.99994,0.99994
3,STT > 3,3,Công ty CP Phát triển Nông nghiệp Hòa Phát,"Chăn nuôi gia súc, gia cầm; trồng trọt; các hoạt động dịch vụ trồng trọt, chăn nuôi, sau thu hoạch; sản xuất thức ăn gia súc, gia cầm và thủy sản.","99,999%","99,999%",,,0.9999899999999999,0.9999899999999999
4,STT > 4,4,Công ty CP Phát triển Bất động sản Hòa Phát (i),"Đầu tư, xây dựng, kinh doanh bất động sản và các hoạt động phụ trợ.","99,967%","99,900%",,,0.99967,0.9990000000000001
5,STT > 5,5,Công ty CP Điện máy Gia dụng Hòa Phát (i),"Đầu tư, sản xuất, kinh doanh các sản phẩm điện máy – gia dụng.","99,900%","99,900%",,,0.9990000000000001,0.9990000000000001
