row_label_raw,row_label_full,STT,Công ty con cấp 3,Hoạt động chính,Tỷ lệ lợi ích của Tập đoàn,Tỷ lệ lợi ích của Tập đoàn_1,numeric__Công ty con cấp 3,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích của Tập đoàn,numeric__Tỷ lệ lợi ích của Tập đoàn_1
STT,STT,STT,Công ty con cấp 3,Hoạt động chính,31/12/2022,1/1/2022,,,,
15,STT > 15,15,Công ty TNHH Ông thép Hòa Phát Đà Nẵng,Sản xuất và kinh doanh thương mại ống thép.,"99,946%","99,938%",,,0.99946,0.99938
16,STT > 16,16,Công ty TNHH MTV Ông thép Hòa Phát Long An,Sản xuất và kinh doanh thương mại ống thép.,"99,969%","99,960%",,,0.99969,0.9995999999999999
17,STT > 17,17,Công ty CP Sản phẩm thép Hòa Phát Long An,Sản xuất và kinh doanh thương mại ống thép.,"99,959%","99,950%",,,0.99959,0.9995
18,STT > 18,18,Công ty TNHH Thép dây Hòa Phát,"Sản xuất, kinh doanh các loại máy xây dựng và khai thác mỏ; sản xuất động cơ, tua bin.","99,910%","99,910%",,,0.9991,0.9991
19,STT > 19,19,Công ty TNHH Chế tạo Cơ khí Hòa Phát,"Sửa chữa và sản xuất các sản phẩm cơ khí; dịch vụ cho thuê máy móc, thiết bị, phương tiện.","99,864%","99,864%",,,0.9986400000000001,0.9986400000000001
20,STT > 20,20,Công ty TNHH MTV Thép dự ứng lực Hòa Phát,"Sản xuất sắt, thép, gang.","99,910%","99,910%",,,0.9991,0.9991
21,STT > 21,21,Công ty TNHH Phụ kiện Cơ khí Hòa Phát,Sản xuất phụ kiện cơ khí.,"99,910%","99,910%",,,0.9991,0.9991
22,STT > 22,22,Công ty TNHH Phát triển Hạ tầng KCN Hòa Phát Hưng Yên,"Xây dựng công trình dân dụng, công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc di thuê, cho thuê nhà xưởng, văn phòng, đầu tư và xây dựng đồng bộ hạ tầng kỹ thuật, kinh doanh nước sạch, thu gom rác thải, khai thác, xử lý và cung cấp nước và nhà hàng.","99,936%","99,746%",,,0.99936,0.9974599999999999
23,STT > 23,23,Công ty TNHH Quản lý Khai thác Khu công nghiệp Hòa Mạc,"Xây dựng công trình dân dụng, công nghiệp, kinh doanh bất động sản thuộc quyền sở hữu hoặc di thuê, cho thuê nhà xưởng, văn phòng, đầu tư và xây dựng đồng bộ hạ tầng kỹ thuật, kinh doanh nước sạch, thu gom rác thải, khai thác, xử lý và cung cấp nước.","99,936%","99,746%",,,0.99936,0.9974599999999999
24,STT > 24,24,Công ty CP Golden Gain Việt Nam,Kinh doanh bất động sản.,"99,926%","99,736%",,,0.99926,0.99736
25,STT > 25,25,Công ty CP Xây dựng Long Việt,"Xây dựng công trình dân dụng, công nghiệp.","99,736%","99,547%",,,0.99736,0.99547
26,STT > 26,26,Công ty TNHH Thức ăn chăn nuôi Hòa Phát Đồng Nai,"Sản xuất và chế biến thức ăn gia súc, gia cầm và thủy sản.","99,999%","99,999%",,,0.9999899999999999,0.9999899999999999
