row_label_raw,row_label_full,col_0,Chi phíbảo hànhVND,Dự phòng khõiphục môi trườngVND,Tổng cộngVND,numeric__Chi phíbảo hànhVND,numeric__Dự phòng khõiphục môi trườngVND,numeric__Tổng cộngVND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,18.929.447.691,35.137.040.401,54.066.488.092,18929447691.0,35137040401.0,54066488092.0
Dự phòng lập trong năm,Dự phòng lập trong năm,Dự phòng lập trong năm,10.189.119.245,2.322.357.442,12.511.476.687,10189119245.0,2322357442.0,12511476687.0
Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,Dự phòng sử dụng trong năm,(1.000.000.000),-,(1.000.000.000),-1000000000.0,,-1000000000.0
Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,Dự phòng hoàn nhập trong năm,(1.559.110.091),(1.251.761.800),(2.810.871.891),-1559110091.0,-1251761800.0,-2810871891.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,26.559.456.845,36.207.636.043,62.767.092.888,26559456845.0,36207636043.0,62767092888.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Ngắn hạn,Trong đó: > Ngắn hạn,Ngắn hạn,5.198.833.687,-,5.198.833.687,5198833687.0,,5198833687.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,21.360.623.158,36.207.636.043,57.568.259.201,21360623158.0,36207636043.0,57568259201.0
