row_label_raw,row_label_full,Công ty Liên doanh TNHH Khu công nghiệp Việt Nam – Singapore,Số cuối năm > 30.499.356.039,Số đầu năm > 30.499.356.039,numeric__Số cuối năm > 30.499.356.039,numeric__Số đầu năm > 30.499.356.039
Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,10.347.935.039,39.233.260.912,10347935039.0,39233260912.0
Công ty Cổ phần Công nghệ và Truyền thông Việt Nam,Công ty Cổ phần Công nghệ và Truyền thông Việt Nam,Công ty Cổ phần Công nghệ và Truyền thông Việt Nam,3.576.882.495,24.712.510.573,3576882495.0,24712510573.0
Công ty Cổ phần Nước - Môi trường Bình Dương,Công ty Cổ phần Nước - Môi trường Bình Dương,Công ty Cổ phần Nước - Môi trường Bình Dương,1.409.120,-,1409120.0,
Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,Trường Đại học Quốc tế Miền Đông,-,47.593.392,,47593392.0
Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,Công ty Cổ phần Kinh doanh và Phát triển Bình Dương,37.500.000.000,37.500.000.000,37500000000.0,37500000000.0
Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,Phải trả các nhà cung cấp khác,51.485.151.744,35.196.907.864,51485151744.0,35196907864.0
Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,14.814.822.484,20.788.100.373,14814822484.0,20788100373.0
Công ty TNHH Tư vấn và Kỹ thuật Bách Phương,Công ty TNHH Tư vấn và Kỹ thuật Bách Phương,Công ty TNHH Tư vấn và Kỹ thuật Bách Phương,16.089.068.023,6.066.303.673,16089068023.0,6066303673.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,20.581.261.237,8.342.503.818,20581261237.0,8342503818.0
Cộng,Cộng,Cộng,861.599.527.177,1.976.026.543.522,861599527177.0,1976026543522.0
