row_label_raw,row_label_full,1.,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,V.8;V.9;V.12;VII,(39.564.114.182),(43.499.807.352),"numeric__Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",numeric__21,numeric__V.8;V.9;V.12;VII,numeric__(39.564.114.182),numeric__(43.499.807.352)
2.,2.,2.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,,-,-,,22.0,,,
3.,3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,-,-,,23.0,,,
4.,4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,-,-,,24.0,,,
5.,5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,V.13,(5.000.000.000),-,,25.0,,-5000000000.0,
6.,6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,-,-,,26.0,,,
7.,7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,V.4;V.13;VI.4,3.046.142.970,59.482.724.139,,27.0,,3046142970.0,59482724139.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(41.517.971.212),15.982.916.787,,30.0,,-41517971212.0,15982916787.0
