row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu đường,Lĩnh vực kinh doanh bắt động sản,doanh bắt động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu đường,numeric__Lĩnh vực kinh doanh bắt động sản,numeric__doanh bắt động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm nay > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,269.727.361.428,1.569.519.020.764,9.233.454.549,85.351.168.945,13.092.335.072,26.295.774.230,1.973.219.114.988,269727361428.0,1569519020764.0,9233454549.0,85351168945.0,13092335072.0,26295774230.0,1973219114988.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,269.727.361.428,1.569.519.020.764,9.233.454.549,85.351.168.945,13.092.335.072,26.295.774.230,1.973.219.114.988,269727361428.0,1569519020764.0,9233454549.0,85351168945.0,13092335072.0,26295774230.0,1973219114988.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,191.595.146.368,365.509.938.996,3.181.077.447,5.720.443.603,(1.371.042.117),17.881.015.431,582.516.579.727,191595146368.0,365509938996.0,3181077447.0,5720443603.0,-1371042117.0,17881015431.0,582516579727.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,582.516.579.727,,,,,,,582516579727.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,11.303.534.178,,,,,,,11303534178.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,(130.938.404.250),,,,,,,-130938404250.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,,,,,24.201.398.435,,,,,,,24201398435.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,,,,,(16.875.383.726),,,,,,,-16875383726.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(84.227.997.954),,,,,,,-84227997954.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,385.979.726.410,,,,,,,385979726410.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,65.628.114.408,-,-,-,-,5.918.795.572,71.546.909.980,65628114408.0,,,,,5918795572.0,71546909980.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,39.695.175.240,2.969.494.818,3.737.835.576,-,-,4.725.488.397,51.127.994.031,39695175240.0,2969494818.0,3737835576.0,,,4725488397.0,51127994031.0
