row_label_raw,row_label_full,col_0,Lĩnh vực bán vế câu đường,Lĩnh vực kinh doanh bất động sản,doanh bất động sản đầu tư,Lĩnh vực xây dựng,Hợp đồng hợp tác kinh doanh,Các lĩnh vực khác,Cộng,numeric__Lĩnh vực bán vế câu đường,numeric__Lĩnh vực kinh doanh bất động sản,numeric__doanh bất động sản đầu tư,numeric__Lĩnh vực xây dựng,numeric__Hợp đồng hợp tác kinh doanh,numeric__Các lĩnh vực khác,numeric__Cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Năm trước > Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần về bán hàng và cung cấp dịch vụ ra bên ngoài,285.904.120.990,882.791.252.511,4.920.000.000,83.242.205.106,18.072.588.542,21.419.303.301,1.296.349.470.450,285904120990.0,882791252511.0,4920000000.0,83242205106.0,18072588542.0,21419303301.0,1296349470450.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận,-,-,-,-,-,-,-,,,,,,,
Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,Tổng doanh thu thuần về bán hàng và cung cấp dịch vụ,285.904.120.990,882.791.252.511,4.920.000.000,83.242.205.106,18.072.588.542,21.419.303.301,1.296.349.470.450,285904120990.0,882791252511.0,4920000000.0,83242205106.0,18072588542.0,21419303301.0,1296349470450.0
Kết quả kinh doanh theo bộ phận,Doanh thu thuần về bán hàng và cung cấp dịch vụ giữa các bộ phận > Kết quả kinh doanh theo bộ phận,Kết quả kinh doanh theo bộ phận,212.757.070.012,138.253.000.479,738.391.318,(1.722.255.304),(7.541.189.235),14.789.853.555,357.274.870.825,212757070012.0,138253000479.0,738391318.0,-1722255304.0,-7541189235.0,14789853555.0,357274870825.0
Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,Các chi phí không phân bổ theo bộ phận,,,,,,,-,,,,,,,
Lợi nhuận từ hoạt động kinh doanh,Các chi phí không phân bổ theo bộ phận > Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,,,,,,,357.274.870.825,,,,,,,357274870825.0
Doanh thu hoạt động tài chính,Các chi phí không phân bổ theo bộ phận > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,49.790.387.314,,,,,,,49790387314.0
Chi phí tài chính,Các chi phí không phân bổ theo bộ phận > Chi phí tài chính,Chi phí tài chính,,,,,,,(76.733.017.247),,,,,,,-76733017247.0
Thu nhập khác,Các chi phí không phân bổ theo bộ phận > Thu nhập khác,Thu nhập khác,,,,,,,21.109.695.404,,,,,,,21109695404.0
Chi phí khác,Các chi phí không phân bổ theo bộ phận > Chi phí khác,Chi phí khác,,,,,,,(13.506.556.795),,,,,,,-13506556795.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Các chi phí không phân bổ theo bộ phận > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,,,,(50.326.418.830),,,,,,,-50326418830.0
Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,Chi phí thuế thu nhập doanh nghiệp hoãn lại,,,,,,,-,,,,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,,,287.608.960.671,,,,,,,287608960671.0
Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,Tổng chi phí đã phát sinh để mua tài sản cố định và các tài sản dài hạn khác,50.966.992.319,3.680.193.649,-,-,-,-,54.647.185.968,50966992319.0,3680193649.0,,,,,54647185968.0
Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Chi phí thuế thu nhập doanh nghiệp hoãn lại > Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,Tổng chi phí khấu hao và phân bổ chi phí trả trước dài hạn,35.598.408.043,1.008.206.580,7.237.399.800,-,-,55.377.008,43.899.391.431,35598408043.0,1008206580.0,7237399800.0,,,55377008.0,43899391431.0
