row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.370.973.230.000,10.420.226.000,93.275.096.257,247.321.828.294,1.721.990.380.551,1370973230000.0,10420226000.0,93275096257.0,247321828294.0,1721990380551.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,287.608.960.671,287.608.960.671,,,,287608960671.0,287608960671.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,8.530.217.777,(19.192.989.999),(10.662.772.222),,,8530217777.0,-19192989999.0,-10662772222.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,(164.516.787.600),(164.516.787.600),,,,-164516787600.0,-164516787600.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,1.370.973.230.000,10.420.226.000,101.805.314.034,351.221.011.366,1.834.419.781.400,1370973230000.0,10420226000.0,101805314034.0,351221011366.0,1834419781400.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,1.370.973.230.000,10.420.226.000,101.805.314.034,351.221.011.366,1.834.419.781.400,1370973230000.0,10420226000.0,101805314034.0,351221011366.0,1834419781400.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,385.979.726.410,385.979.726.410,,,,385979726410.0,385979726410.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,40.255.260.098,(53.673.680.131),(13.418.420.033),,,40255260098.0,-53673680131.0,-13418420033.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,(137.097.323.000),(137.097.323.000),,,,-137097323000.0,-137097323000.0
Trích thường ban điều hành,Trích thường ban điều hành,Trích thường ban điều hành,-,-,-,(536.736.801),(536.736.801),,,,-536736801.0,-536736801.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,1.370.973.230.000,10.420.226.000,142.060.574.132,545.892.997.844,2.069.347.027.976,1370973230000.0,10420226000.0,142060574132.0,545892997844.0,2069347027976.0
