row_label_raw,row_label_full,Số cuối năm,Tổng nợ > Số cuối năm,Từ 01 nămtrở xuống > Số cuối năm,Trên 01 nămđến 05 năm > Số cuối năm,Trên05 năm > Số cuối năm,numeric__Tổng nợ > Số cuối năm,numeric__Từ 01 nămtrở xuống > Số cuối năm,numeric__Trên 01 nămđến 05 năm > Số cuối năm,numeric__Trên05 năm > Số cuối năm
Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,435.000.000.000,75.560.000.000,359.440.000.000,-,435000000000.0,75560000000.0,359440000000.0,
Trái phiếu thường,Trái phiếu thường,Trái phiếu thường,75.000.000.000,11.250.000.000,63.750.000.000,-,75000000000.0,11250000000.0,63750000000.0,
Cộng,Cộng,Cộng,510.000.000.000,86.810.000.000,423.190.000.000,-,510000000000.0,86810000000.0,423190000000.0,
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,
Vay dài hạn ngân hàng,Số đầu năm > Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,104.908.594.300,89.908.594.300,15.000.000.000,-,104908594300.0,89908594300.0,15000000000.0,
Cộng,Số đầu năm > Cộng,Cộng,104.908.594.300,89.908.594.300,15.000.000.000,-,104908594300.0,89908594300.0,15000000000.0,
