row_label_raw,row_label_full,col_0,Năm 2020triệu đồng,Năm 2019triệu đồng,numeric__Năm 2020triệu đồng,numeric__Năm 2019triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,32.767.393,31.196.604,32767393.0,31196604.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,411.279,970.978,411279.0,970978.0
Thu nhập lãi cho vay khách hàng và các TCTD khác,Thu nhập lãi cho vay khách hàng và các TCTD khác,Thu nhập lãi cho vay khách hàng và các TCTD khác,24.384.010,23.254.954,24384010.0,23254954.0
Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,6.004.868,5.246.239,6004868.0,5246239.0
Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,1.472.613,1.298.771,1472613.0,1298771.0
Thu khác từ hoạt động tin dụng,Thu khác từ hoạt động tin dụng,Thu khác từ hoạt động tin dụng,494.623,425.662,494623.0,425662.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(12.489.598),(13.196.607),-12489598.0,-13196607.0
Trả lãi tiền gửi,Trả lãi tiền gửi,Trả lãi tiền gửi,(9.661.876),(10.950.028),-9661876.0,-10950028.0
Trả lãi tiền vay,Trả lãi tiền vay,Trả lãi tiền vay,(508.171),(750.718),-508171.0,-750718.0
Trả lãi phát hành giấy tờ có giả,Trả lãi phát hành giấy tờ có giả,Trả lãi phát hành giấy tờ có giả,(2.124.787),(1.357.196),-2124787.0,-1357196.0
Chi phí hoạt động tin dụng khác,Chi phí hoạt động tin dụng khác,Chi phí hoạt động tin dụng khác,(194.764),(138.665),-194764.0,-138665.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,20.277.795,17.999.997,20277795.0,17999997.0
