row_label_raw,row_label_full,Các khoản thuế phải nộp Nhà nước(Thuyết minh số 25),31/12/2020triêu đồng > 714.467,31/12/2019triêu đồng > 626.840,numeric__31/12/2020triêu đồng > 714.467,numeric__31/12/2019triêu đồng > 626.840
Chuyển tiền phải trả,Chuyển tiền phải trả,Chuyển tiền phải trả,668.663,358.758,668663.0,358758.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,3.211.424,1.172.821,3211424.0,1172821.0
Dự phòng nghiệp vụ bảo hiểm,Dự phòng nghiệp vụ bảo hiểm,Dự phòng nghiệp vụ bảo hiểm,4.505.608,3.188.133,4505608.0,3188133.0
Phải trả về dịch vụ thanh toán,Phải trả về dịch vụ thanh toán,Phải trả về dịch vụ thanh toán,8.431.602,4.141.421,8431602.0,4141421.0
Phải trả liên quan đến dịch vụ liên kết với Viettel,Phải trả liên quan đến dịch vụ liên kết với Viettel,Phải trả liên quan đến dịch vụ liên kết với Viettel,642.895,2.036.682,642895.0,2036682.0
"Nhân ký quỹ, ký cược ngắn hạn đầu tư kinh doanhchứng khoán","Nhân ký quỹ, ký cược ngắn hạn đầu tư kinh doanhchứng khoán","Nhân ký quỹ, ký cược ngắn hạn đầu tư kinh doanhchứng khoán",1.998.030,1.505.724,1998030.0,1505724.0
Phải trả và ứng trước của công ty con,Phải trả và ứng trước của công ty con,Phải trả và ứng trước của công ty con,276.084,262.492,276084.0,262492.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,3.808.566,1.964.671,3808566.0,1964671.0
,,,24.257.339,15.257.542,24257339.0,15257542.0
