row_label_raw,row_label_full,Số dư đầu năm > Trích lập/(hoản nhập) trong năm(Thuyết minh số 31),Chứng khoánđầu tư sẵn sàngđể bántriệu đồng > 132.988 > 58.090,Chứng khoánđầu tư giữ đếngày đảo hạntriệu đồng > 125.246 > (24.181),Tổngtriệu đồng > 258.234 > 33.909,numeric__Chứng khoánđầu tư sẵn sàngđể bántriệu đồng > 132.988 > 58.090,numeric__Chứng khoánđầu tư giữ đếngày đảo hạntriệu đồng > 125.246 > (24.181),numeric__Tổngtriệu đồng > 258.234 > 33.909
Phân loại lại sang tài sản có khác,Phân loại lại sang tài sản có khác,Phân loại lại sang tài sản có khác,(538),-,(538),-538.0,,-538.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,190.540,101.065,291.605,190540.0,101065.0,291605.0
