row_label_raw,row_label_full,col_0,Tài chínhngân hàngtriệu đồng,Chứng khoán –Quản lý quỹtriệu đồng,Bảo hiểmtriệu đồng,Khai thác nợ -Quản lý tài sảntriệu đồng,Loại trừtriệu đồng,Tổng côngtriệu đồng,numeric__Tài chínhngân hàngtriệu đồng,numeric__Chứng khoán –Quản lý quỹtriệu đồng,numeric__Bảo hiểmtriệu đồng,numeric__Khai thác nợ -Quản lý tài sảntriệu đồng,numeric__Loại trừtriệu đồng,numeric__Tổng côngtriệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,67.502.678,423.795,353.310,8.004,(35.520.394),32.767.393,67502678.0,423795.0,353310.0,8004.0,-35520394.0,32767393.0
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2.857.036,511.435,5.866.772,577.619,(1.584.689),8.228.173,2857036.0,511435.0,5866772.0,577619.0,-1584689.0,8228173.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,9.896.263,291.531,62.054,20.107,(3.791.819),6.478.136,9896263.0,291531.0,62054.0,20107.0,-3791819.0,6478136.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(48.085.281),(178.503),(1.972),-,35.776.158,(12.489.598),-48085281.0,-178503.0,-1972.0,,35776158.0,-12489598.0
2. Chi phí khấu hao TSCĐ,II. Chi phí > 2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(566.059),(15.449),(2.700.238),(6.253),-,(3.287.999),-566059.0,-15449.0,-2700238.0,-6253.0,,-3287999.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(14.214.059),(684.123),(3.099.902),(384.488),3.493.183,(14.889.389),-14214059.0,-684123.0,-3099902.0,-384488.0,3493183.0,-14889389.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,II. Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,17.390.578,348.686,480.024,214.989,(1.627.561),16.806.716,17390578.0,348686.0,480024.0,214989.0,-1627561.0,16806716.0
Chi phí dự phòng rủi ro,II. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(7.766.746),28.668,2.028,(9.951),1.627.561,(6.118.440),-7766746.0,28668.0,2028.0,-9951.0,1627561.0,-6118440.0
Kết quả kinh doanh bộ phận,II. Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,9.623.832,377.354,482.052,205.038,-,10.688.276,9623832.0,377354.0,482052.0,205038.0,,10688276.0
