row_label_raw,row_label_full,col_0,Quả hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng công triệu đồng,numeric__Quả hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng công triệu đồng
,,,Quả hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng công triệu đồng,,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tải sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,3.109.230,-,-,-,-,-,-,3.109.230,,3109230.0,,,,,,,3109230.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,17.296.506,-,-,-,-,-,17.296.506,,,17296506.0,,,,,,17296506.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),-,-,39.580.133,4.199.318,1.682.590,1.391.511,1.035.250,-,47.888.802,,,39580133.0,4199318.0,1682590.0,1391511.0,1035250.0,,47888802.0
Chứng khoản kinh doanh (*),Tải sản > Chứng khoản kinh doanh (*),Chứng khoản kinh doanh (*),-,287.480,2.814.550,-,-,-,-,-,3.102.030,,287480.0,2814550.0,,,,,,3102030.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,50.007,76.277,(98.356),(31.174),40.352,-,37.106,,,50007.0,76277.0,-98356.0,-31174.0,40352.0,,37106.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),4.555.025,-,81.547.848,134.649.673,32.682.466,23.642.553,20.174.301,1.045.117,298.296.983,4555025.0,,81547848.0,134649673.0,32682466.0,23642553.0,20174301.0,1045117.0,298296983.0
Chứng khoản đầu tư (*),Tải sản > Chứng khoản đầu tư (*),Chứng khoản đầu tư (*),50.000,-,8.986.909,20.088.142,4.824.199,11.252.846,16.981.334,37.966.175,100.149.605,50000.0,,8986909.0,20088142.0,4824199.0,11252846.0,16981334.0,37966175.0,100149605.0
"Gộp vốn, đầu tư dài hạn (*)","Tải sản > Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,1.026.562,-,-,-,-,-,-,1.026.562,,1026562.0,,,,,,,1026562.0
Tải sản cố định và bất động sản đầu tư,Tải sản > Tải sản cố định và bất động sản đầu tư,Tải sản cố định và bất động sản đầu tư,-,4.558.817,-,-,-,-,-,-,4.558.817,,4558817.0,,,,,,,4558817.0
Tải sản Cỏ khác (*),Tải sản > Tải sản Cỏ khác (*),Tải sản Cỏ khác (*),46.361,24.464.833,-,-,-,-,-,-,24.511.194,46361.0,24464833.0,,,,,,,24511194.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,4.651.386,33.446.922,150.275.953,159.013.410,39.090.899,36.255.736,38.231.237,39.011.292,499.976.835,4651386.0,33446922.0,150275953.0,159013410.0,39090899.0,36255736.0,38231237.0,39011292.0,499976835.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,15.383,-,-,-,-,-,15.383,,,15383.0,,,,,,15383.0
Tiền gửi và vay từ TCTD khác,Nợ phải trả > Tiền gửi và vay từ TCTD khác,Tiền gửi và vay từ TCTD khác,-,-,22.135.039,15.918.064,9.611.664,3.096.908,54.854,59.943,50.876.472,,,22135039.0,15918064.0,9611664.0,3096908.0,54854.0,59943.0,50876472.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,177.955.277,47.177.998,38.812.323,37.231.262,9.763.033,20.461,310.960.354,,,177955277.0,47177998.0,38812323.0,37231262.0,9763033.0,20461.0,310960354.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,304,1.857,205.180,-,-,-,207.341,,,304.0,1857.0,205180.0,,,,207341.0
Phật hành giấy tờ có giả,Nợ phải trả > Phật hành giấy tờ có giả,Phật hành giấy tờ có giả,-,-,6.556.970,8.007.214,6.330.256,25.721.402,3.423.299,884.422,50.923.563,,,6556970.0,8007214.0,6330256.0,25721402.0,3423299.0,884422.0,50923563.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,31.899.554,-,-,-,-,-,-,31.899.554,,31899554.0,,,,,,,31899554.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,31.899.554,206.662.973,71.105.133,54.959.423,66.049.572,13.241.186,964.826,444.882.667,,31899554.0,206662973.0,71105133.0,54959423.0,66049572.0,13241186.0,964826.0,444882667.0
