row_label_raw,row_label_full,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (i),31/12/2020triêu đồng > 16.237.916,31/12/2019triêu đồng > 13.582.665,numeric__31/12/2020triêu đồng > 16.237.916,numeric__31/12/2019triêu đồng > 13.582.665
- Bằng VND,- Bằng VND,- Bằng VND,14.657.801,11.835.562,14657801.0,11835562.0
- Bằng ngoại tế,- Bằng ngoại tế,- Bằng ngoại tế,1.580.115,1.747.103,1580115.0,1747103.0
Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),370.632,231.067,370632.0,231067.0
Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),687.958,533.448,687958.0,533448.0
,,,17.296.506,14.347.180,17296506.0,14347180.0
