row_label_raw,row_label_full,Số dư đầu năm > Hoàn nhập dự phòng trong kỳ (Thuyết minh số 35),Năm 2020triệu đồng > 274.123 > (20.646),Năm 2019triệu đồng > 301.267 > (13.962),numeric__Năm 2020triệu đồng > 274.123 > (20.646),numeric__Năm 2019triệu đồng > 301.267 > (13.962)
Phân loại lai từ dự phòng đầu tư chứng khoán,Phân loại lai từ dự phòng đầu tư chứng khoán,Phân loại lai từ dự phòng đầu tư chứng khoán,573,538,573.0,538.0
Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,Xử lý rủi ro trong năm,(207.689),(13.373),-207689.0,-13373.0
Chênh lệch tỷ giả,Chênh lệch tỷ giả,Chênh lệch tỷ giả,-,(347),,-347.0
,,,46.361,274.123,46361.0,274123.0
