row_label_raw,row_label_full,col_0,31/12/2020 > %/năm,31/12/2019 > %/năm,numeric__31/12/2020 > %/năm,numeric__31/12/2019 > %/năm
Tiền gửi cỏ kỳ han bằng VND,Tiền gửi cỏ kỳ han bằng VND,Tiền gửi cỏ kỳ han bằng VND,"0,10 - 4,20","1,60 - 4,70",,
Tiền gửi cỏ kỳ han bằng ngoại tệ,Tiền gửi cỏ kỳ han bằng ngoại tệ,Tiền gửi cỏ kỳ han bằng ngoại tệ,"0,10 - 1,20","1,70 - 2,10",,
Tiền vay các tổ chức tin dụng khác bằng VND,Tiền vay các tổ chức tin dụng khác bằng VND,Tiền vay các tổ chức tin dụng khác bằng VND,"0,40 - 4,20","3,60 - 4,80",,
Tiền vay các tổ chức tin dụng khác bằng ngoại tệ,Tiền vay các tổ chức tin dụng khác bằng ngoại tệ,Tiền vay các tổ chức tin dụng khác bằng ngoại tệ,"0,20 - 2,48","1,50 - 3,60",,
