row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Cổ phiếu quỹ triệu đồng,Vốn khác triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng công triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Cổ phiếu quỹ triệu đồng,numeric__Vốn khác triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng công triệu đồng
Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,21.604.514,-,27.834,2.308.267,1.172.398,406.470,7.123.671,1.529.704,34.172.858,21604514.0,,27834.0,2308267.0,1172398.0,406470.0,7123671.0,1529704.0,34172858.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,7.822.773,245.831,8.068.604,,,,,,,7822773.0,245831.0,8068604.0
Tăng vốn điều lệ trong năm của công ty con,Tăng vốn điều lệ trong năm của công ty con,Tăng vốn điều lệ trong năm của công ty con,-,-,-,-,-,-,-,155.661,155.661,,,,,,,,155661.0,155661.0
Trich lập quỹ trong năm,Trich lập quỹ trong năm,Trich lập quỹ trong năm,-,-,-,597.517,319.199,339.402,(1.256.118),-,-,,,,597517.0,319199.0,339402.0,-1256118.0,,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,-,(206.794),-,(27),(206.821),,,,,,-206794.0,,-27.0,-206821.0
Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,Chi trả cổ tức trong năm,-,-,-,-,-,-,(1.268.039),(36.180),(1.304.219),,,,,,,-1268039.0,-36180.0,-1304219.0
Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,Phát hành cổ phiếu để trả cổ tức,1.690.719,-,-,-,-,-,(1.690.719),-,-,1690719.0,,,,,,-1690719.0,,
Phát hành cổ phiếu thường cho cán bộ nhân viên,Phát hành cổ phiếu thường cho cán bộ nhân viên,Phát hành cổ phiếu thường cho cán bộ nhân viên,432.090,-,-,-,-,-,-,-,432.090,432090.0,,,,,,,,432090.0
Mua lại cổ phiếu quỹ trong năm,Mua lại cổ phiếu quỹ trong năm,Mua lại cổ phiếu quỹ trong năm,-,(1.036.712),-,-,-,-,-,-,(1.036.712),,-1036712.0,,,,,,,-1036712.0
Trich quỹ khen thưởng,Trich quỹ khen thưởng,Trich quỹ khen thưởng,-,-,-,-,-,-,(371.783),(12.182),(383.965),,,,,,,-371783.0,-12182.0,-383965.0
Trich thưởng cho nhân viên,Trich thưởng cho nhân viên,Trich thưởng cho nhân viên,-,-,-,-,-,-,(7.849),(2.022),(9.871),,,,,,,-7849.0,-2022.0,-9871.0
Điều chính theo kết quả kiểm toán,Điều chính theo kết quả kiểm toán,Điều chính theo kết quả kiểm toán,-,-,-,-,-,-,1.514,5.007,6.521,,,,,,,1514.0,5007.0,6521.0
Điều chính theo thanh tra thuế,Điều chính theo thanh tra thuế,Điều chính theo thanh tra thuế,-,-,-,-,-,-,(14.576),-,(14.576),,,,,,,-14576.0,,-14576.0
Chênh lệch tỷ giả,Chênh lệch tỷ giả,Chênh lệch tỷ giả,-,-,-,-,-,(332),-,-,(332),,,,,,-332.0,,,-332.0
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,(4),15.978,(14.891),5.477,16,6.576,,,,-4.0,15978.0,-14891.0,5477.0,16.0,6576.0
Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,-,-,-,-,(296),-,(1.861),2.157,-,,,,,-296.0,,-1861.0,2157.0,
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,23.727.323,(1.036.712),27.834,2.905.780,1.507.279,523.855,10.342.490,1.887.965,39.885.814,23727323.0,-1036712.0,27834.0,2905780.0,1507279.0,523855.0,10342490.0,1887965.0,39885814.0
