row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,TSCĐ vô hình khác triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__TSCĐ vô hình khác triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.102.024,872.307,5.837,1.980.168,1102024.0,872307.0,5837.0,1980168.0
Mua mới trong năm,Nguyên giá > Mua mới trong năm,Mua mới trong năm,-,295.491,984,296.475,,295491.0,984.0,296475.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,1.694,(768),926,,1694.0,-768.0,926.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(5),-,(5),,-5.0,,-5.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.102.024,1.169.487,6.053,2.277.564,1102024.0,1169487.0,6053.0,2277564.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,160.825,659.566,3.718,824.109,160825.0,659566.0,3718.0,824109.0
Tăng trong năm,Giá trị hao mòn luỹ kế > Tăng trong năm,Tăng trong năm,21.032,207.957,2.073,231.062,21032.0,207957.0,2073.0,231062.0
Điều chỉnh khác,Giá trị hao mòn luỹ kế > Điều chỉnh khác,Điều chỉnh khác,-,719,(719),-,,719.0,-719.0,
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,(2),-,(2),,-2.0,,-2.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,181.857,868.240,5.072,1.055.169,181857.0,868240.0,5072.0,1055169.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,941.199,212.741,2.119,1.156.059,941199.0,212741.0,2119.0,1156059.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,920.167,301.247,981,1.222.395,920167.0,301247.0,981.0,1222395.0
