row_label_raw,row_label_full,col_0,Vốn điều lẻ triệu đồng,Thặng dư cổ phần,Cổ phiếu quỹ triệu đồng,Vốn khác (*) triệu đồng,Quỹ dư phòng tài chính triệu đồng,Quỹ dư trữ bổ sung vốn điều lệ triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Lợi ích cổ đông không kiểm soát triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lẻ triệu đồng,numeric__Thặng dư cổ phần,numeric__Cổ phiếu quỹ triệu đồng,numeric__Vốn khác (*) triệu đồng,numeric__Quỹ dư phòng tài chính triệu đồng,numeric__Quỹ dư trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Lợi ích cổ đông không kiểm soát triệu đồng,numeric__Tổng cộng triệu đồng
Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,23.727.323,-,(1.036.712),27.834,2.905.780,1.507.279,523.855,10.342.490,1.887.965,39.885.814,23727323.0,,-1036712.0,27834.0,2905780.0,1507279.0,523855.0,10342490.0,1887965.0,39885814.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,8.262.659,343.380,8.606.039,,,,,,,,8262659.0,343380.0,8606039.0
Trích lập quỹ trong năm,Trích lập quỹ trong năm,Trích lập quỹ trong năm,-,-,-,-,769.762,408.294,337.355,(1.515.411),-,-,,,,,769762.0,408294.0,337355.0,-1515411.0,,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,-,-,-,-,-,(484.703),(9.808),(494.511),,,,,,,,-484703.0,-9808.0,-494511.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,643.106,1.076.816,-,-,-,-,-,-,21.626,1.741.548,643106.0,1076816.0,,,,,,,21626.0,1741548.0
Bản cổ phiếu quỹ trong năm,Bản cổ phiếu quỹ trong năm,Bản cổ phiếu quỹ trong năm,-,100.747,472.315,-,-,-,-,-,-,573.062,,100747.0,472315.0,,,,,,,573062.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,-,-,-,(228.661),-,(27),(228.688),,,,,,,-228661.0,,-27.0,-228688.0
Điều chính theo Bảo cáo kiểm toàn tại chi nhánh nước ngoại và công ty con,Điều chính theo Bảo cáo kiểm toàn tại chi nhánh nước ngoại và công ty con,Điều chính theo Bảo cáo kiểm toàn tại chi nhánh nước ngoại và công ty con,-,-,-,-,(15),194,10,14.571,2.616,17.376,,,,,-15.0,194.0,10.0,14571.0,2616.0,17376.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,-,-,-,-,-,(75.268),(75.268),,,,,,,,,-75268.0,-75268.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,3.617.140,-,-,97.111,-,-,-,(3.714.251),-,-,3617140.0,,,97111.0,,,,-3714251.0,,
Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,Thay đổi tỷ lệ sở hữu,-,-,-,-,643,643,39,6.587,(7.912),-,,,,,643.0,643.0,39.0,6587.0,-7912.0,
Điều chính khác,Điều chính khác,Điều chính khác,-,-,-,-,-,-,-,47.538,30.419,77.957,,,,,,,,47538.0,30419.0,77957.0
Chênh lệch tỷ giả,Chênh lệch tỷ giả,Chênh lệch tỷ giả,-,-,-,-,-,-,(342),(3.492),-,(3.834),,,,,,,-342.0,-3492.0,,-3834.0
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,27.987.569,1.177.563,(564.397),124.945,3.676.170,1.916.410,632.256,12.955.988,2.192.991,50.099.495,27987569.0,1177563.0,-564397.0,124945.0,3676170.0,1916410.0,632256.0,12955988.0,2192991.0,50099495.0
