row_label_raw,row_label_full,col_0,31/12/2020triệu đồng,31/12/2019triệu đồng,numeric__31/12/2020triệu đồng,numeric__31/12/2019triệu đồng
"Kỹ quỹ, thể chấp, cảm cố","Kỹ quỹ, thể chấp, cảm cố","Kỹ quỹ, thể chấp, cảm cố",702.935,1.087.822,702935.0,1087822.0
Phải thu liên quan đến tài trợ thương mại,Phải thu liên quan đến tài trợ thương mại,Phải thu liên quan đến tài trợ thương mại,5.183.800,2.924.016,5183800.0,2924016.0
Phải thu liên quan đến dịch vụ thanh toàn,Phải thu liên quan đến dịch vụ thanh toàn,Phải thu liên quan đến dịch vụ thanh toàn,5.684.230,2.364.121,5684230.0,2364121.0
Phải thu liên quan đến bán trái phiếu,Phải thu liên quan đến bán trái phiếu,Phải thu liên quan đến bán trái phiếu,2.597.800,810.049,2597800.0,810049.0
Các khoản tam ứng và đặt cọc hợp đồng,Các khoản tam ứng và đặt cọc hợp đồng,Các khoản tam ứng và đặt cọc hợp đồng,798.744,281.960,798744.0,281960.0
Phải thu trong hoạt động bảo hiểm của công ty con,Phải thu trong hoạt động bảo hiểm của công ty con,Phải thu trong hoạt động bảo hiểm của công ty con,730.595,634.066,730595.0,634066.0
Dự phòng phí và bồi thường nghiệp vụ nhượng táibảo hiểm của công ty con,Dự phòng phí và bồi thường nghiệp vụ nhượng táibảo hiểm của công ty con,Dự phòng phí và bồi thường nghiệp vụ nhượng táibảo hiểm của công ty con,944.663,678.855,944663.0,678855.0
Các khoản phải thu bên ngoài khác,Các khoản phải thu bên ngoài khác,Các khoản phải thu bên ngoài khác,1.099.187,698.112,1099187.0,698112.0
,,,17.741.954,9.479.001,17741954.0,9479001.0
