row_label_raw,row_label_full,col_0,Miền Bắc triệu đồng,Miền Trung triệu đồng,Miền Nam triệu đồng,Nước ngoài triệu đồng,Loại trừ triệu đồng,Tổng cộng triệu đồng,numeric__Miền Bắc triệu đồng,numeric__Miền Trung triệu đồng,numeric__Miền Nam triệu đồng,numeric__Nước ngoài triệu đồng,numeric__Loại trừ triệu đồng,numeric__Tổng cộng triệu đồng
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,,
1. Doanh thu lãi,I. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,51.607.144,3.779.439,12.486.594,414.609,(35.520.393),32.767.393,51607144.0,3779439.0,12486594.0,414609.0,-35520393.0,32767393.0
2. Doanh thu từ hoạt động dịch vụ,I. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,9.057.025,114.519,621.333,19.984,(1.584.688),8.228.173,9057025.0,114519.0,621333.0,19984.0,-1584688.0,8228173.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,8.036.184,887.532,1.255.301,90.940,(3.791.821),6.478.136,8036184.0,887532.0,1255301.0,90940.0,-3791821.0,6478136.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,,
1. Chi phí lãi,II. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(38.135.576),(2.646.365),(7.233.684),(250.129),35.776.156,(12.489.598),-38135576.0,-2646365.0,-7233684.0,-250129.0,35776156.0,-12489598.0
2. Chi phí khấu hao TSCĐ,II. Chi phí > 2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(3.233.368),(12.537),(33.850),(8.244),-,(3.287.999),-3233368.0,-12537.0,-33850.0,-8244.0,,-3287999.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(15.519.847),(495.728),(2.264.844),(102.155),3.493.185,(14.889.389),-15519847.0,-495728.0,-2264844.0,-102155.0,3493185.0,-14889389.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,II. Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,11.811.562,1.626.860,4.830.850,165.005,(1.627.561),16.806.716,11811562.0,1626860.0,4830850.0,165005.0,-1627561.0,16806716.0
Chi phí dự phòng rủi ro,II. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(5.259.388),(1.236.327),(1.177.569),(72.717),1.627.561,(6.118.440),-5259388.0,-1236327.0,-1177569.0,-72717.0,1627561.0,-6118440.0
Kết quả kinh doanh bộ phận,II. Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,6.552.174,390.533,3.653.281,92.288,-,10.688.276,6552174.0,390533.0,3653281.0,92288.0,,10688276.0
