row_label_raw,row_label_full,TỔNG CỘNG,334.720.601.678,numeric__334.720.601.678
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,307.999.601.572,307999601572.0
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,26.721.000.106,26721000106.0
