row_label_raw,row_label_full,col_0,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,15.1,10.337.218.294.000,7.205.618.294.000,151.0,10337218294000.0,7205618294000.0
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,15.2,550.697.261.074,430.697.261.074,152.0,550697261074.0,430697261074.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,15.3,438.500.200.000,448.500.200.000,153.0,438500200000.0,448500200000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(30.092.518.150),(349.142.755.114),,-30092518150.0,-349142755114.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,11.296.323.236.924,7.735.672.999.960,,11296323236924.0,7735672999960.0
