row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,148.862.301.151,48.586.251.331,148862301151.0,48586251331.0
Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,Thuế TNDN theo thuế suất 20%,29.772.460.230,9.717.250.266,29772460230.0,9717250266.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí không được khấu trừ,Các khoản điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,9.320.878.917,3.991.993.645,9320878917.0,3991993645.0
Lãi vay vượt quá 30% EBITDA theo Nghị định,Lãi vay vượt quá 30% EBITDA theo Nghị định,Lãi vay vượt quá 30% EBITDA theo Nghị định,,,,
132/2020/NĐ-CP,Lãi vay vượt quá 30% EBITDA theo Nghị định > 132/2020/NĐ-CP,132/2020/NĐ-CP,51.694.313.210,28.786.918.916,51694313210.0,28786918916.0
Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,Lãi vay vượt quá 30% EBITDA theo Nghị định > Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,Lỗ của hoạt động khác không được bù trừ vào lợi nhuận của hoạt động kinh doanh bất động sản,-,833.826.237,,833826237.0
Cổ tức không chịu thuế,Lãi vay vượt quá 30% EBITDA theo Nghị định > Cổ tức không chịu thuế,Cổ tức không chịu thuế,-,(18.156.000.000),,-18156000000.0
Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,,,,
68/2020/NĐ-CP,Điều chỉnh thuế TNDN theo Nghị định > 68/2020/NĐ-CP,68/2020/NĐ-CP,-,(5.096.161.336),,-5096161336.0
Lỗ các nằm trước chuyển sang,Điều chỉnh thuế TNDN theo Nghị định > Lỗ các nằm trước chuyển sang,Lỗ các nằm trước chuyển sang,-,(10.709.750.169),,-10709750169.0
Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,Điều chỉnh thuế TNDN theo Nghị định,,,,
114/2020/NĐ-CP,Điều chỉnh thuế TNDN theo Nghị định > 114/2020/NĐ-CP,114/2020/NĐ-CP,-,(4.339.271.669),,-4339271669.0
Chi phí thuế TNDN,Điều chỉnh thuế TNDN theo Nghị định > Chi phí thuế TNDN,Chi phí thuế TNDN,90.787.652.357,5.028.805.890,90787652357.0,5028805890.0
