row_label_raw,row_label_full,STT,STT_1,Số cuối năm > Tỷ lệ biểu quyết(%),Số cuối năm > Số cổ phiếu,Số cuối năm > Giá trị ghi số(VND),Số đầu năm > Tỷ lệ biểu quyết(%),Số đầu năm > Số cổ phiếu,Số đầu năm > Giá trị ghi số(VND),numeric__STT_1,numeric__Số cuối năm > Tỷ lệ biểu quyết(%),numeric__Số cuối năm > Số cổ phiếu,numeric__Số cuối năm > Giá trị ghi số(VND),numeric__Số đầu năm > Tỷ lệ biểu quyết(%),numeric__Số đầu năm > Số cổ phiếu,numeric__Số đầu năm > Giá trị ghi số(VND)
1,1,1,Công ty TNHH Một thành viên Phát triển Đồ thị Tràng Cát (i),100,-,6.630.000.000.000,100,-,5.130.000.000.000,,100.0,,6630000000000.0,100.0,,5130000000000.0
2,2,2,Công ty Cổ phần Tập đoàn Đầu tư và Phát triển Hưng Yên (ii),70,108.000.000,1.080.000.000.000,-,-,-,,70.0,108000000.0,1080000000000.0,,,
3,3,3,Công ty Cổ phần Đầu tư Phát triển Long An (ii),60,54.000.000,540.000.000.000,-,-,-,,60.0,54000000.0,540000000000.0,,,
4,4,4,Công ty Cổ phần Phát triển Đô thị Sài Gòn - Tây Bắc,"74,3",30.259.574,662.066.314.000,"74,3",30.259.574,662.066.314.000,,74.3,30259574.0,662066314000.0,74.3,30259574.0,662066314000.0
5,5,5,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,"86,54",3.600.000,468.000.000.000,"86,54",3.600.000,468.000.000.000,,86.54,3600000.0,468000000000.0,86.54,3600000.0,468000000000.0
6,6,6,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,"92,5",1.309.000,119.000.000.000,"92,5",1.309.000,119.000.000.000,,92.5,1309000.0,119000000000.0,92.5,1309000.0,119000000000.0
7,7,7,Công ty TNHH MTV Đầu tư NGD,100,-,105.300.000.000,100,-,105.300.000.000,,100.0,,105300000000.0,100.0,,105300000000.0
8,8,8,Công ty TNHH MTV Kinh doanh Văn phòng và Nhà xưởng Kinh Bắc,100,-,5.440.000.000,100,-,5.440.000.000,,100.0,,5440000000.0,100.0,,5440000000.0
9,9,9,Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng (iii),100,-,720.000.000.000,100,-,708.400.000.000,,100.0,,720000000000.0,100.0,,708400000000.0
10,10,10,Công ty Cổ phần Phát triển Đô thị Tiên Dương,51,25.500.000,7.411.980.000,51,25.500.000,7.411.980.000,,51.0,25500000.0,7411980000.0,51.0,25500000.0,7411980000.0
,,,TỔNG CỘNG,,,10.337.218.294.000,,,7.205.618.294.000,,,,10337218294000.0,,,7205618294000.0
,,,Dự phòng giảm giá đầu tư vào công ty con,,,-,,,-,,,,,,,
,,,GIÁ TRỊ THUẢN,,,10.337.218.294.000,,,7.205.618.294.000,,,,10337218294000.0,,,7205618294000.0
