row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VND,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VND
Công ty TNHH MTV Đầu tưKinh Bắc – Đà Nẵng,Công ty TNHH MTV Đầu tưKinh Bắc – Đà Nẵng,Công ty TNHH MTV Đầu tưKinh Bắc – Đà Nẵng,"Góp vốn bằng tiền,khoản phải thu cho vay,lãi cho vay",11.600.000.000,108.400.000.000,,11600000000.0,108400000000.0
Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Trả gốc vay,-,100.000.000.000,,,100000000000.0
Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Chi phí lãi vay phải trả,-,6.399.999.667,,,6399999667.0
Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Công ty Cổ phầnĐầu tư Vinatex – Tân Tạo,Chi phí lãi vay đã trả,-,7.633.333.000,,,7633333000.0
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Trả cổ tức,-,23.868.750.000,,,23868750000.0
Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Phải trả khác,1.600.000.000,-,,1600000000.0,
Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Góp vốn,1.080.000.000.000,-,,1080000000000.0,
Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Đi vay,1.080.000.000.000,-,,1080000000000.0,
Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Lãi vay phải trả,4.253.424.656,-,,4253424656.0,
Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Công ty Cổ phần Tập đoànĐầu tư và Phát triển HưngYên,Hoàn trả nợ gốc,900.000.000.000,-,,900000000000.0,
Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Góp vốn,540.000.000.000,-,,540000000000.0,
Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Lãi vay phải trả,1.920.821.918,-,,1920821918.0,
Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Nhận gốc vay,540.000.000.000,,,540000000000.0,
Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Hoàn trả nợ gốc,90.000.000.000,-,,90000000000.0,
Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Bù trừ công nợ,450.000.000.000,,,450000000000.0,
Công ty Cổ phần KCNSài Gòn- Nhơn Hội,Công ty Cổ phần KCNSài Gòn- Nhơn Hội,Công ty Cổ phần KCNSài Gòn- Nhơn Hội,Góp vốn,110.000.000.000,-,,110000000000.0,
