row_label_raw,row_label_full,Mã > KBC2123001 > KBC2021.AB > KBCH2123002 > KBCH2124003 > KBC2020.200 > KBC2020.VB > KBC2020.DC,"Loại trái phiếu > Trái phiếu không chuyển đổi, không kèm chứng quyền có tài sản đảm bảo > Trái phiếu doanh nghiệp phát hành cho các đối tượng",Số lượng trái phiếu > 4.000.000 > 15.000.000 > 10.000.000 > 4.050.000 > 200.000 > 2.000.000 > 4.000.000,Mệnh giá VND > 100.000 > 1.000.000 > 100.000,Giá trị VND > 400.000.000.000 > 1.500.000.000.000 > 1.000.000.000.000 > 405.000.000.000 > 200.000.000.000 > 400.000.000.000,"Lãi suất trong năm > 10,50% > 10,80% > 10,50% > 9,38% > 11%",Thời hạn trái phiếu > 22 tháng 2 năm 2023 > 24 tháng 6 năm 2023 > 3 tháng 6 năm 2023 > 11 tháng 11 năm 2024 > 8 tháng 5 năm 2022 > 23 tháng 6 năm 2022 > 28 tháng 1 năm 2022,"Tài sản đảm bảo > Tài sản đảm bảo bao gồm:- 700.000 cổ phiếu phổ thông của Công ty Cổ phần Khu công nghiệp Sải Gòn-Hải Phòng do Công ty sở hữu- 600.000 cổ phiếu phổ thông của Công ty Cổ phần Khu công nghiệp Sải Gòn-Bắc Giang của Công ty sở hữu > Không có tài sản đảm bảo > 26.000.000 cổ phiếu phổ thông của Tổng Công ty Phát triển độ thị Kinh Bắc – CTCP của một cổ đông > Trái phiếu được bảo đảm bằng thừa đất số 91, tờ bản đồ số 15, địa chỉ số 84 Hùng Vương, phường Hải Châu 1, quận Hải Châu, Tp. Đà Nẵng và 100% vốn góp của Tổ chức phát hành tại Công ty TNHH Đầu tư Kinh Bắc - Đà Nẵng cùng với đất hình thành trong tương lai và Hợp đồng mua bán tài sản giữa Tổ Chức Phát Hành và các khách hàng mua sản phẩm tại dự án thuộc thừa đất số 91, tờ bản đồ số 15, địa chỉ số 84 Hùng Vương, phường Hải Châu 1, quận Hải Châu, Tp. Đà Nẵng. > 1.309.000 cổ phiếu của Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang của Công ty sở hữu > Các công trình trên đất (bao gồm nhà xưởng sản xuất, văn phòng), giá trị đầu tư cơ sở hạ tầng tại Khu Công nghiệp Quế Võ hiện hữu, Khu Công nghiệp Quế Võ mở rộng và Khu Công nghiệp Quang Châu > 1.680.000 cổ phiếu phổ thông của Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng của Công ty sở hữu","numeric__Loại trái phiếu > Trái phiếu không chuyển đổi, không kèm chứng quyền có tài sản đảm bảo > Trái phiếu doanh nghiệp phát hành cho các đối tượng",numeric__Số lượng trái phiếu > 4.000.000 > 15.000.000 > 10.000.000 > 4.050.000 > 200.000 > 2.000.000 > 4.000.000,numeric__Mệnh giá VND > 100.000 > 1.000.000 > 100.000,numeric__Giá trị VND > 400.000.000.000 > 1.500.000.000.000 > 1.000.000.000.000 > 405.000.000.000 > 200.000.000.000 > 400.000.000.000,"numeric__Lãi suất trong năm > 10,50% > 10,80% > 10,50% > 9,38% > 11%",numeric__Thời hạn trái phiếu > 22 tháng 2 năm 2023 > 24 tháng 6 năm 2023 > 3 tháng 6 năm 2023 > 11 tháng 11 năm 2024 > 8 tháng 5 năm 2022 > 23 tháng 6 năm 2022 > 28 tháng 1 năm 2022,"numeric__Tài sản đảm bảo > Tài sản đảm bảo bao gồm:- 700.000 cổ phiếu phổ thông của Công ty Cổ phần Khu công nghiệp Sải Gòn-Hải Phòng do Công ty sở hữu- 600.000 cổ phiếu phổ thông của Công ty Cổ phần Khu công nghiệp Sải Gòn-Bắc Giang của Công ty sở hữu > Không có tài sản đảm bảo > 26.000.000 cổ phiếu phổ thông của Tổng Công ty Phát triển độ thị Kinh Bắc – CTCP của một cổ đông > Trái phiếu được bảo đảm bằng thừa đất số 91, tờ bản đồ số 15, địa chỉ số 84 Hùng Vương, phường Hải Châu 1, quận Hải Châu, Tp. Đà Nẵng và 100% vốn góp của Tổ chức phát hành tại Công ty TNHH Đầu tư Kinh Bắc - Đà Nẵng cùng với đất hình thành trong tương lai và Hợp đồng mua bán tài sản giữa Tổ Chức Phát Hành và các khách hàng mua sản phẩm tại dự án thuộc thừa đất số 91, tờ bản đồ số 15, địa chỉ số 84 Hùng Vương, phường Hải Châu 1, quận Hải Châu, Tp. Đà Nẵng. > 1.309.000 cổ phiếu của Công ty Cổ phần Khu Công nghiệp Sài Gòn - Bắc Giang của Công ty sở hữu > Các công trình trên đất (bao gồm nhà xưởng sản xuất, văn phòng), giá trị đầu tư cơ sở hạ tầng tại Khu Công nghiệp Quế Võ hiện hữu, Khu Công nghiệp Quế Võ mở rộng và Khu Công nghiệp Quang Châu > 1.680.000 cổ phiếu phổ thông của Công ty Cổ phần Khu Công nghiệp Sài Gòn - Hải Phòng của Công ty sở hữu"
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,,,,(75.712.085.267),,,,,,,-75712085267.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,39.250.000,,4.029.287.914.733,,,,,39250000.0,,4029287914733.0,,,
Trong đó:Trái phiếu phải thanh toán trong năm tới,Trong đó:Trái phiếu phải thanh toán trong năm tới,Trong đó:Trái phiếu phải thanh toán trong năm tới,Trong đó:Trái phiếu phải thanh toán trong năm tới,Trong đó:Trái phiếu phải thanh toán trong năm tới,Trong đó:Trái phiếu phải thanh toán trong năm tới,800.000.000.000,,,,,,,800000000000.0,,,
Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,Trái phiếu phải thanh toán trong dài hạn,3.305.000.000.000,,,,,,,3305000000000.0,,,
Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong năm tới,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong năm tới,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong năm tới,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong năm tới,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong năm tới,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong năm tới,(3.771.666.664),,,,,,,-3771666664.0,,,
Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong dài hạn,Chi phí phát hành trái phiếu của trái phiếu phải phân bổ trong dài hạn,(71.940.418.603),,,,,,,-71940418603.0,,,
