row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm,Đơn vị tính: VND > Số đầu năm_1,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm,numeric__Đơn vị tính: VND > Số đầu năm_1
Cổ phiếu (i),Cổ phiếu (i),Cổ phiếu (i),7.490.461.369,(2.308.273.169),7.490.461.369,(5.305.222.369),7490461369.0,-2308273169.0,7490461369.0,-5305222369.0
Các khoảnđầu tư khác(ii),Các khoảnđầu tư khác(ii),Các khoảnđầu tư khác(ii),1.854.868.000.000,-,1.854.868.000.000,-,1854868000000.0,,1854868000000.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.862.358.461.369,(2.308.273.169),1.862.358.461.369,(5.305.222.369),1862358461369.0,-2308273169.0,1862358461369.0,-5305222369.0
