row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn(Thuyết minh số 18),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn(Thuyết minh số 18),Số cuối năm > Chi phí phải trả ngắn hạn(Thuyết minh số 18),Đơn vị tính: VND > Số đầu năm > Chi phí phải trả ngắn hạn(Thuyết minh số 18),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn(Thuyết minh số 18),numeric__Số cuối năm > Chi phí phải trả ngắn hạn(Thuyết minh số 18),numeric__Đơn vị tính: VND > Số đầu năm > Chi phí phải trả ngắn hạn(Thuyết minh số 18)
Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Lãi vay phải trả ngắn hạn,9.143.342.465,18.523.150.684,,9143342465.0,18523150684.0
Công ty Cổ phần KhuCông nghiệp Sài Gòn -Hải Phòng,Công ty Cổ phần KhuCông nghiệp Sài Gòn -Hải Phòng,Công ty Cổ phần KhuCông nghiệp Sài Gòn -Hải Phòng,Lãi vay phải trả ngắn hạn,2.898.609.185,-,,2898609185.0,
Công ty Cổ phần Đầu tưvà Phát triển hạ tầng Khucông nghệ cao Sài Gòn,Công ty Cổ phần Đầu tưvà Phát triển hạ tầng Khucông nghệ cao Sài Gòn,Công ty Cổ phần Đầu tưvà Phát triển hạ tầng Khucông nghệ cao Sài Gòn,Lãi vay phải trả ngắn hạn,981.879.723,-,,981879723.0,
,,,,13.023.831.373,18.523.150.684,,13023831373.0,18523150684.0
Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),Chi phí phải trả dài hạn(Thuyết minh số 18),,,
Công ty Cổ phần KhuCông nghiệp Sài Gòn -Hải Phòng,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần KhuCông nghiệp Sài Gòn -Hải Phòng,Công ty Cổ phần KhuCông nghiệp Sài Gòn -Hải Phòng,Lãi vay phải trả dài hạn,14.110.027.398,25.950.223.997,,14110027398.0,25950223997.0
Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Lãi vay phải trả dài hạn,39.013.290.070,38.185.083.511,,39013290070.0,38185083511.0
Công ty Cổ phần Đầu tưPhát triển Long An,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần Đầu tưPhát triển Long An,Công ty Cổ phần Đầu tưPhát triển Long An,Lãi vay phải trả dài hạn,1.920.821.918,-,,1920821918.0,
Công ty Cổ phần Tậpđoàn Đầu tư Phát triểnHưng Yên,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần Tậpđoàn Đầu tư Phát triểnHưng Yên,Công ty Cổ phần Tậpđoàn Đầu tư Phát triểnHưng Yên,Lãi vay phải trả dài hạn,4.253.424.656,-,,4253424656.0,
Công ty Cổ phần Đầu tưvà Phát triển hạ tầng Khucông nghệ cao Sài Gòn,Chi phí phải trả dài hạn(Thuyết minh số 18) > Công ty Cổ phần Đầu tưvà Phát triển hạ tầng Khucông nghệ cao Sài Gòn,Công ty Cổ phần Đầu tưvà Phát triển hạ tầng Khucông nghệ cao Sài Gòn,Lãi vay phải trả dài hạn,-,945.879.723,,,945879723.0
,,,,59.297.564.042,65.081.187.231,,59297564042.0,65081187231.0
Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),Phải trả ngắn hạn khác(Thuyết minh số 19),,,
Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Phải trả ngắn hạn khác(Thuyết minh số 19) > Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Công ty Cổ phần KhuCông nghiệp Sài Gòn –Bắc Giang,Phải trả khác,858.000.000,858.000.000,,858000000.0,858000000.0
Ông Đặng Thành Tâm,Phải trả ngắn hạn khác(Thuyết minh số 19) > Ông Đặng Thành Tâm,Ông Đặng Thành Tâm,Phải trả khác,1.600.000.000,-,,1600000000.0,
,,,,2.458.000.000,858.000.000,,2458000000.0,858000000.0
