row_label_raw,row_label_full,1,Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,Công ty con,numeric__Công ty Cổ phần Khu công nghiệp Sài Gòn - Bắc Giang,numeric__Công ty con
2,2,2,Công ty Cổ phần Khu công nghiệp Sài Gòn - Hải Phòng,Công ty con,,
3,3,3,Công ty Cổ phần Phát triển Đỏ thị Sài Gòn - Tây Bắc,Công ty con,,
4,4,4,Công ty TNHH Một thành viên Phát triển Đỏ thị Tràng Cát,Công ty con,,
5,5,5,Công ty Cổ phần Phát triển Đỏ thị Tiên Dương,Công ty con,,
6,6,6,Công ty TNHH MTV Đầu tư Kinh Bắc – Đà Nẵng,Công ty con,,
7,7,7,Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhơn Hội,Công ty liên kết kể từ ngày 10 tháng 12 năm 2021,,
8,8,8,Ông Đăng Thành Tâm,Chủ tịch Hội đồng Quản trị,,
9,9,9,Bà Nguyễn Thị Thu Hương,Tổng Giám đốc,,
10,10,10,Bà Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,,
11,11,11,Ông Phan Anh Dũng,Phó Tổng Giám đốc,,
12,12,12,Công ty Cổ phần Đầu tư Vinatex – Tân Tạo,Công ty có chung thành viên quản lý chủ chốt,,
13,13,13,Công ty Cổ phần Đầu tư và Phát triển hạ tầng Khu công nghệ cao Sài Gòn,Công ty có chung thành viên quản lý chủ chốt,,
