row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,,,
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,3.251.383.000,3.846.700.257,3251383000.0,3846700257.0
"Phí tư vấn, môi giới bán hàng","Chi phí bán hàng > Phí tư vấn, môi giới bán hàng","Phí tư vấn, môi giới bán hàng",21.074.014.926,-,21074014926.0,
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,10.361.625.000,250.000.000,10361625000.0,250000000.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,34.687.022.926,4.096.700.257,34687022926.0,4096700257.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,53.105.888.628,51.152.801.285,53105888628.0,51152801285.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,7.836.353.313,7.476.961.712,7836353313.0,7476961712.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,39.226.746.229,34.982.559.953,39226746229.0,34982559953.0
Chi phí tài trợ,Chi phí quản lý doanh nghiệp > Chi phí tài trợ,Chi phí tài trợ,42.372.809.654,45.092.365.073,42372809654.0,45092365073.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,3.339.515.938,1.643.850.338,3339515938.0,1643850338.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,145.881.313.762,140.348.538.361,145881313762.0,140348538361.0
