row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp/cấn trừ trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp/cấn trừ trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.125.781.524,91.619.893.358,(59.053.886.098),33.691.788.784,1125781524.0,91619893358.0,-59053886098.0,33691788784.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,877.360.585,11.334.911.492,(11.732.684.752),479.587.325,877360585.0,11334911492.0,-11732684752.0,479587325.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,487.302.522,13.544.522.233,(13.693.337.256),338.487.499,487302522.0,13544522233.0,-13693337256.0,338487499.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,2.490.444.631,116.499.327.083,(84.479.908.106),34.509.863.608,2490444631.0,116499327083.0,-84479908106.0,34509863608.0
,,,Số đầu năm,Số phải thu trong năm,Số cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,93.634.351.535,53.789.011.846,(85.041.179.686),62.382.183.695,93634351535.0,53789011846.0,-85041179686.0,62382183695.0
Các loại thuế khác,Phải thu > Các loại thuế khác,Các loại thuế khác,-,2.327.581.447,-,2.327.581.447,,2327581447.0,,2327581447.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,93.634.351.535,56.116.593.293,(85.041.179.686),64.709.765.142,93634351535.0,56116593293.0,-85041179686.0,64709765142.0
