row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,,,,,
Ứng trước cho Ngân hàngThương mại Cổ phần Đại chúngViệt Nam (i),Ngắn hạn > Ứng trước cho Ngân hàngThương mại Cổ phần Đại chúngViệt Nam (i),Ứng trước cho Ngân hàngThương mại Cổ phần Đại chúngViệt Nam (i),237.365.756.101,-,232.681.247.878,-,237365756101.0,,232681247878.0,
Phải thu Công ty Cổ phần Dịchvụ Kinh Bắc từ chuyển nhượngcổ phần (ii),Ngắn hạn > Phải thu Công ty Cổ phần Dịchvụ Kinh Bắc từ chuyển nhượngcổ phần (ii),Phải thu Công ty Cổ phần Dịchvụ Kinh Bắc từ chuyển nhượngcổ phần (ii),-,-,248.880.217.500,-,,,248880217500.0,
Phải thu UBND tỉnh Bắc Ninhtiền hỗ trợ giá cho thuê lại đất cócor sở hạ tầng (iv),Ngắn hạn > Phải thu UBND tỉnh Bắc Ninhtiền hỗ trợ giá cho thuê lại đất cócor sở hạ tầng (iv),Phải thu UBND tỉnh Bắc Ninhtiền hỗ trợ giá cho thuê lại đất cócor sở hạ tầng (iv),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Tạm ứng cho nhân viên,Ngắn hạn > Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,27.169.896.672,-,15.995.312.612,-,27169896672.0,,15995312612.0,
Phải thu tiền đặt cọc (v),Ngắn hạn > Phải thu tiền đặt cọc (v),Phải thu tiền đặt cọc (v),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Ủy ban Nhân dân xã Vân Dương,Ngắn hạn > Ủy ban Nhân dân xã Vân Dương,Ủy ban Nhân dân xã Vân Dương,3.327.780.000,-,3.327.780.000,-,3327780000.0,,3327780000.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,26.905.345.934,-,89.657.477.840,-,26905345934.0,,89657477840.0,
Phải thu khác từ các bên liênquan (Thuyết minh số 29),Ngắn hạn > Phải thu khác từ các bên liênquan (Thuyết minh số 29),Phải thu khác từ các bên liênquan (Thuyết minh số 29),59.948.077.826,-,18.878.555.518,-,59948077826.0,,18878555518.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,387.007.984.937,-,641.711.719.752,-,387007984937.0,,641711719752.0,
