row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Quyền khai thác mô đá Đắk Wei,Website,Phần mềm máy tính,Chi phí triển khai,Cộng,numeric__Quyền sử dụng đất,numeric__Quyền khai thác mô đá Đắk Wei,numeric__Website,numeric__Phần mềm máy tính,numeric__Chi phí triển khai,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,-,,,,,,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,53.536.754.270,617.689.701,-,430.760.792,-,54.585.204.763,53536754270.0,617689701.0,,430760792.0,,54585204763.0
Tăng trong kỳ,Nguyên giá > Tăng trong kỳ,Tăng trong kỳ,-,-,34.760.000,111.510.000,3.561.139.272,3.707.409.272,,,34760000.0,111510000.0,3561139272.0,3707409272.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,-,61.344.000,-,61.344.000,,,,61344000.0,,61344000.0
Tăng do hợp nhất,Nguyên giá > Tăng do hợp nhất,Tăng do hợp nhất,-,-,-,-,104.550.379.542,104.550.379.542,,,,,104550379542.0,104550379542.0
CL do chuyển đổi,Nguyên giá > CL do chuyển đổi,CL do chuyển đổi,-,-,-,-,3.345.113.598,3.345.113.598,,,,,3345113598.0,3345113598.0
Giảm trong kỳ,Nguyên giá > Giảm trong kỳ,Giảm trong kỳ,-,-,-,80.400.000,-,80.400.000,,,,80400000.0,,80400000.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,53.536.754.270,617.689.701,34.760.000,523.214.792,111.456.632.412,166.169.051.175,53536754270.0,617689701.0,34760000.0,523214792.0,111456632412.0,166169051175.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,23.384.075,32.591.429,-,389.319.394,-,445.294.898,23384075.0,32591429.0,,389319394.0,,445294898.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,21.585.300,36.334.680,8.207.219,42.421.772,2.008.711.264,2.117.260.235,21585300.0,36334680.0,8207219.0,42421772.0,2008711264.0,2117260235.0
Tăng do hợp nhất,Khấu hao > Tăng do hợp nhất,Tăng do hợp nhất,-,-,-,-,96.164.406.282,96.164.406.282,,,,,96164406282.0,96164406282.0
CL do chuyển đổi,Khấu hao > CL do chuyển đổi,CL do chuyển đổi,-,-,-,-,3.063.128.879,3.063.128.879,,,,,3063128879.0,3063128879.0
Giảm trong kỳ,Khấu hao > Giảm trong kỳ,Giảm trong kỳ,-,-,-,80.400.000,,80.400.000,,,,80400000.0,,80400000.0
Số cuối kỳ,Khấu hao > Số cuối kỳ,Số cuối kỳ,44.969.375,68.926.109,8.207.219,351.341.166,101.236.246.425,101.709.690.294,44969375.0,68926109.0,8207219.0,351341166.0,101236246425.0,101709690294.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,53.513.370.195,585.098.272,-,41.441.398,-,54.139.909.865,53513370195.0,585098272.0,,41441398.0,,54139909865.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,53.491.784.895,548.763.592,26.552.781,171.873.626,10.220.385.987,64.459.360.881,53491784895.0,548763592.0,26552781.0,171873626.0,10220385987.0,64459360881.0
