row_label_raw,row_label_full,col_0,Năm 2015,Năm 2014,numeric__Năm 2015,numeric__Năm 2014
Giá vốn bán hàng,Giá vốn bán hàng,Giá vốn bán hàng,1.386.920.241.166,844.281.272.812,1386920241166.0,844281272812.0
"- Giá vốn bán hàng hóa, thành phẩm","- Giá vốn bán hàng hóa, thành phẩm","- Giá vốn bán hàng hóa, thành phẩm",631.301.355.124,352.580.492.342,631301355124.0,352580492342.0
- Giá vốn trạm thu phí,- Giá vốn trạm thu phí,- Giá vốn trạm thu phí,20.808.715.965,-,20808715965.0,
"- Giá vốn bán gỗ, sản phẩm từ gỗ","- Giá vốn bán gỗ, sản phẩm từ gỗ","- Giá vốn bán gỗ, sản phẩm từ gỗ",98.485.794.229,300.568.115.999,98485794229.0,300568115999.0
- Giá vốn bán phân bón,- Giá vốn bán phân bón,- Giá vốn bán phân bón,275.138.338.021,149.914.775.320,275138338021.0,149914775320.0
- Giá vốn bán căn hộ,- Giá vốn bán căn hộ,- Giá vốn bán căn hộ,-,13.779.776.180,,13779776180.0
- Giá vốn bán đá,- Giá vốn bán đá,- Giá vốn bán đá,72.724.820.993,8.268.071.049,72724820993.0,8268071049.0
- Giá vốn sản phẩm nông nghiệp,- Giá vốn sản phẩm nông nghiệp,- Giá vốn sản phẩm nông nghiệp,288.461.216.834,19.170.041.922,288461216834.0,19170041922.0
Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,Giá vốn cung cấp dịch vụ,38.646.999.719,35.640.354.936,38646999719.0,35640354936.0
- Giá vốn cho thuê tài sản,- Giá vốn cho thuê tài sản,- Giá vốn cho thuê tài sản,6.311.887.162,2.531.900.004,6311887162.0,2531900004.0
- Giá vốn cung cấp dịch vụ,- Giá vốn cung cấp dịch vụ,- Giá vốn cung cấp dịch vụ,21.684.340.568,16.031.947.358,21684340568.0,16031947358.0
- Giá vốn dịch vụ bến xe và xe buýt,- Giá vốn dịch vụ bến xe và xe buýt,- Giá vốn dịch vụ bến xe và xe buýt,10.650.771.989,17.076.507.574,10650771989.0,17076507574.0
Giá vốn công trình xây dựng,Giá vốn công trình xây dựng,Giá vốn công trình xây dựng,54.453.058.158,20.104.994.606,54453058158.0,20104994606.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,1.028.466.072,-,1028466072.0,
Cộng,Cộng,Cộng,1.481.048.765.115,900.026.622.354,1481048765115.0,900026622354.0
