row_label_raw,row_label_full,31/12/2015,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,609.145.972.928,-,609.145.972.928,609145972928.0,,609145972928.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,44.274.125.874,-,44.274.125.874,44274125874.0,,44274125874.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,317.745.315.095,2.915.632.941.375,3.233.378.256.470,317745315095.0,2915632941375.0,3233378256470.0
Phải trả khác,Phải trả khác,Phải trả khác,112.450.856.914,74.595.230.845,187.046.087.759,112450856914.0,74595230845.0,187046087759.0
Cộng,Cộng,Cộng,1.083.616.270.811,2.990.228.172.220,4.073.844.443.031,1083616270811.0,2990228172220.0,4073844443031.0
01/01/2015,01/01/2015,01/01/2015,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2015 > Phải trả người bán,Phải trả người bán,205.487.084.131,-,205.487.084.131,205487084131.0,,205487084131.0
Chi phí phải trả,01/01/2015 > Chi phí phải trả,Chi phí phải trả,21.877.644.412,-,21.877.644.412,21877644412.0,,21877644412.0
Vay và nợ thuê tài chính,01/01/2015 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,251.931.779.860,1.790.554.533.424,2.042.486.313.284,251931779860.0,1790554533424.0,2042486313284.0
Phải trả khác,01/01/2015 > Phải trả khác,Phải trả khác,121.519.071.211,-,121.519.071.211,121519071211.0,,121519071211.0
Cộng,01/01/2015 > Cộng,Cộng,600.815.579.614,1.790.554.533.424,2.391.370.113.038,600815579614.0,1790554533424.0,2391370113038.0
