row_label_raw,row_label_full,31/12/2015,Không quá 1 năm,Trên 1 năm,Đơn vị tính: VND Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Đơn vị tính: VND Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,220.107.949.123,,220.107.949.123,220107949123.0,,220107949123.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,264.000.000.000,13.486.261.636,277.486.261.636,264000000000.0,13486261636.0,277486261636.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,573.264.666.667,1.400.000.000,574.664.666.667,573264666667.0,1400000000.0,574664666667.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,415.224.159.179,-,415.224.159.179,415224159179.0,,415224159179.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,699.209.157.372,157.343.713.318,856.552.870.690,699209157372.0,157343713318.0,856552870690.0
Phải thu khác,Phải thu khác,Phải thu khác,96.224.325.929,25.364.989.405,121.589.315.334,96224325929.0,25364989405.0,121589315334.0
Cộng,Cộng,Cộng,2.268.030.258.270,197.594.964.359,2.465.625.222.629,2268030258270.0,197594964359.0,2465625222629.0
01/01/2015,01/01/2015,01/01/2015,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2015 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,106.621.225.448,-,106.621.225.448,106621225448.0,,106621225448.0
Đầu tư tài chính,01/01/2015 > Đầu tư tài chính,Đầu tư tài chính,-,56.949.102.692,56.949.102.692,,56949102692.0,56949102692.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2015 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,340.000.000.000,4.400.000.000,344.400.000.000,340000000000.0,4400000000.0,344400000000.0
Phải thu khách hàng,01/01/2015 > Phải thu khách hàng,Phải thu khách hàng,242.687.327.881,-,242.687.327.881,242687327881.0,,242687327881.0
Phải thu về cho vay,01/01/2015 > Phải thu về cho vay,Phải thu về cho vay,496.590.171.148,219.267.747.218,715.857.918.366,496590171148.0,219267747218.0,715857918366.0
Phải thu khác,01/01/2015 > Phải thu khác,Phải thu khác,67.826.019.914,393.000.000,68.219.019.914,67826019914.0,393000000.0,68219019914.0
Cộng,01/01/2015 > Cộng,Cộng,1.253.724.744.391,281.009.849.910,1.534.734.594.301,1253724744391.0,281009849910.0,1534734594301.0
