row_label_raw,row_label_full,NGUỒN VỐN,NGUỒN VỐN_1,Mã số,Thuyết minh,31/12/2015 VND,01/01/2015 VND,numeric__NGUỒN VỐN_1,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__01/01/2015 VND
A.,A.,A.,Nợ phải trả,300,,4.659.167.400.422,2.439.559.634.144,,300.0,,4659167400422.0,2439559634144.0
I.,I.,I.,Nợ ngắn hạn,310,,1.201.278.547.823,648.279.945.358,,310.0,,1201278547823.0,648279945358.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,20,609.145.972.928,205.487.084.131,,311.0,20.0,609145972928.0,205487084131.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,21,40.826.783.914,8.708.898.399,,312.0,21.0,40826783914.0,8708898399.0
3.,3.,3.,Thuế và các khoản khác phải nộp Nhà nước,313,22.b,51.611.529.683,31.102.653.266,,313.0,,51611529683.0,31102653266.0
4.,4.,4.,Phải trả người lao động,314,,24.575.230.736,5.358.960.448,,314.0,,24575230736.0,5358960448.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,23,44.274.125.874,21.877.644.412,,315.0,23.0,44274125874.0,21877644412.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,24,496.919.698,127.328.029,,318.0,24.0,496919698.0,127328029.0
7.,7.,7.,Phải trả ngắn hạn khác,319,25.a,113.132.159.636,122.573.876.554,,319.0,,113132159636.0,122573876554.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,26.a,317.745.315.095,251.931.779.860,,320.0,,317745315095.0,251931779860.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,,(529.489.741),1.111.720.259,,322.0,,-529489741.0,1111720259.0
II.,II.,II.,Nợ dài hạn,330,,3.457.888.852.599,1.791.279.688.786,,330.0,,3457888852599.0,1791279688786.0
1.,1.,1.,Phải trả dài hạn khác,337,25.b,74.595.230.845,-,,337.0,,74595230845.0,
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,26.b,2.915.632.941.375,1.790.554.533.424,,338.0,,2915632941375.0,1790554533424.0
3.,3.,3.,Trái phiếu chuyển đổi,339,27.b,438.110.772.258,-,,339.0,,438110772258.0,
4.,4.,4.,Thuế thu nhập hoãn lại phải trả,341,,2.629.387.586,725.155.362,,341.0,,2629387586.0,725155362.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,28,26.920.520.535,-,,342.0,28.0,26920520535.0,
B.,B.,B.,VỐN CHỦ SỞ HỮU,400,,2.156.440.087.252,1.667.104.671.169,,400.0,,2156440087252.0,1667104671169.0
I.,I.,I.,Vốn chủ sở hữu,410,,2.156.440.087.252,1.667.104.671.169,,410.0,,2156440087252.0,1667104671169.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,29,1.691.861.170.000,1.492.535.080.000,,411.0,29.0,1691861170000.0,1492535080000.0
1.,1.,1.,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.691.861.170.000,1.492.535.080.000,,,,1691861170000.0,1492535080000.0
1.,1.,1.,- Cổ phiếu ưu đãi,411b,,-,-,,,,,
2.,1. > 2.,2.,Thặng dư vốn cổ phần,412,29,49.928.104.500,819.082.000,,412.0,29.0,49928104500.0,819082000.0
3.,1. > 3.,3.,Quyền chọn chuyển đổi trái phiếu,413,29,94.188.783.378,-,,413.0,29.0,94188783378.0,
4.,1. > 4.,4.,Vốn khác của chủ sở hữu,414,29,8.977.680.000,-,,414.0,29.0,8977680000.0,
5.,1. > 5.,5.,Chênh lệch tỷ giá hối đoái,417,29,10.031.813.727,-,,417.0,29.0,10031813727.0,
6.,1. > 6.,6.,Quỹ đầu tư phát triển,418,29,11.134.542.824,11.134.542.824,,418.0,29.0,11134542824.0,11134542824.0
7.,1. > 7.,7.,Lợi nhuận sau thuế chưa phân phối,421,29,133.480.076.884,54.165.749.925,,421.0,29.0,133480076884.0,54165749925.0
7.,1. > 7.,7.,- LNST CPP lũy kế đến cuối kỳ trước,421a,,45.188.069.925,142.177.962,,,,45188069925.0,142177962.0
7.,1. > 7.,7.,- LNST chưa phân phối kỳ này,421b,,88.292.006.959,54.023.571.963,,,,88292006959.0,54023571963.0
8.,1. > 8.,8.,Lợi ích của cổ đông không kiểm soát,429,,156.837.915.939,108.450.216.420,,429.0,,156837915939.0,108450216420.0
II.,1. > II.,II.,Nguồn kinh phí và quỹ khác,430,,-,-,,430.0,,,
,,,TỔNG CỘNG NGUỒN VỐN,440,,6.815.607.487.674,4.106.664.305.313,,440.0,,6815607487674.0,4106664305313.0
