row_label_raw,row_label_full,Bảng cân đối kế toán,Mã số,Số tiền,Mã số_1,Số tiền_1,Chênh lệch,Ghi chú,numeric__Mã số,numeric__Số tiền,numeric__Mã số_1,numeric__Số tiền_1,numeric__Chênh lệch,numeric__Ghi chú
Đầu tư ngắn hạn,Đầu tư ngắn hạn,Đầu tư ngắn hạn,,-,121,793.657.261.554,(793.657.261.554),(1),,,121.0,793657261554.0,-793657261554.0,-1.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,340.000.000.000,,,340.000.000.000,(1),123.0,340000000000.0,,,340000000000.0,-1.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,496.620.171.148,,,496.620.171.148,"(1), (2)",135.0,496620171148.0,,,496620171148.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,203.252.605.452,135,210.817.446.916,(7.564.841.464),(2),136.0,203252605452.0,135.0,210817446916.0,-7564841464.0,-2.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,9.202.813,158,,9.202.813,(3),139.0,9202813.0,158.0,,9202813.0,-3.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,,,158,35.407.270.943,(35.407.270.943),"(2), (3)",,,158.0,35407270943.0,-35407270943.0,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,219.267.747.218,,,219.267.747.218,(4),215.0,219267747218.0,,,219267747218.0,-4.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,393.000.000,268,,393.000.000,(5),216.0,393000000.0,268.0,,393000000.0,-5.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,62.017.800.000,,,62.017.800.000,(4),253.0,62017800000.0,,,62017800000.0,-4.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,255,4.400.000.000,,,4.400.000.000,(4),255.0,4400000000.0,,,4400000000.0,-4.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,,,258,285.685.547.218,(285.685.547.218),(4),,,258.0,285685547218.0,-285685547218.0,-4.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,4.076.567.242,261,9.064.067.242,(4.987.500.000),(6),261.0,4076567242.0,261.0,9064067242.0,-4987500000.0,-6.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,268,,268,393.000.000,(393.000.000),(5),268.0,,268.0,393000000.0,-393000000.0,-5.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,318,127.328.029,,,127.328.029,(7),318.0,127328029.0,,,127328029.0,-7.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,122.573.876.554,319,225.763.918.096,(103.190.041.542),(8),319.0,122573876554.0,319.0,225763918096.0,-103190041542.0,-8.0
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,320,251.931.779.860,311,148.741.738.318,103.190.041.542,(8),320.0,251931779860.0,311.0,148741738318.0,103190041542.0,-8.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,338,1.790.554.533.424,334,1.795.542.033.424,(4.987.500.000),(6),338.0,1790554533424.0,334.0,1795542033424.0,-4987500000.0,-6.0
Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,Doanh thu chưa thực hiện,,,338,127.328.029,(127.328.029),(7),,,338.0,127328029.0,-127328029.0,-7.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,11.134.542.824,417,6.804.570.446,4.329.972.378,(9),418.0,11134542824.0,417.0,6804570446.0,4329972378.0,-9.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,,,418,4.329.972.378,(4.329.972.378),(9),,,418.0,4329972378.0,-4329972378.0,-9.0
