row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015 VND,01/01/2015 VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015 VND,numeric__01/01/2015 VND
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,3.135.385.580.757,1.901.481.385.683,100.0,,3135385580757.0,1901481385683.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,220.107.949.123,106.621.225.448,110.0,5.0,220107949123.0,106621225448.0
1. Tiền,1. Tiền,1. Tiền,111,,96.121.254.089,88.321.225.448,111.0,,96121254089.0,88321225448.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,123.986.695.034,18.300.000.000,112.0,,123986695034.0,18300000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,,837.264.666.667,340.000.000.000,120.0,,837264666667.0,340000000000.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,6,264.000.000.000,-,121.0,6.0,264000000000.0,
2. Đầu tư nằm giữ đến ngày đáo hạn,2. Đầu tư nằm giữ đến ngày đáo hạn,2. Đầu tư nằm giữ đến ngày đáo hạn,123,7.a.1,573.264.666.667,340.000.000.000,123.0,,573264666667.0,340000000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.523.713.012.610,1.035.308.268.253,130.0,,1523713012610.0,1035308268253.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,8,421.320.582.095,251.508.882.295,131.0,8.0,421320582095.0,251508882295.0
2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,2. Trà trước cho người bán ngắn hạn,132,9,196.979.291.054,92.738.960.959,132.0,9.0,196979291054.0,92738960959.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,10.a,701.001.957.372,496.620.171.148,135.0,,701001957372.0,496620171148.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,11.a,217.129.586.506,203.252.605.452,136.0,,217129586506.0,203252605452.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,12,(12.727.607.230),(8.821.554.414),137.0,12.0,-12727607230.0,-8821554414.0
6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,6. Tài sản thiếu chờ xử lý,139,,9.202.813,9.202.813,139.0,,9202813.0,9202813.0
