row_label_raw,row_label_full,Tên Công ty,Mối quan hệ,numeric__Mối quan hệ
Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Công ty TNHH Đức Long Dung Quát,Chung cổ đông lớn có ảnh hưởng đáng kể,
Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyên,Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyên,Công ty TNHH Cung ứng Vật tư Nguyên liệu Tây Nguyên,Công ty liên kết,
Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty CP Tư vấn Xây dựng Giao thông Gia Lai,Công ty liên kết,
Công ty CP Đức Long Tây Nguyễn,Công ty CP Đức Long Tây Nguyễn,Công ty CP Đức Long Tây Nguyễn,Công ty liên kết,
Công ty CP Dịch vụ Bảo vệ Tây Bình Tây Sơn,Công ty CP Dịch vụ Bảo vệ Tây Bình Tây Sơn,Công ty CP Dịch vụ Bảo vệ Tây Bình Tây Sơn,Công ty nhận đầu tư,
Công ty CP Đầu tư Xây dựng Nam Nguyên,Công ty CP Đầu tư Xây dựng Nam Nguyên,Công ty CP Đầu tư Xây dựng Nam Nguyên,Công ty nhận đầu tư,
Công ty TNHH Khai thác Khoáng sản Đức Sang Gia Lai,Công ty TNHH Khai thác Khoáng sản Đức Sang Gia Lai,Công ty TNHH Khai thác Khoáng sản Đức Sang Gia Lai,Công ty nhận đầu tư,
Công ty CP Đầu tư và Phát triển Điện năng Đức Long Gia Lai,Công ty CP Đầu tư và Phát triển Điện năng Đức Long Gia Lai,Công ty CP Đầu tư và Phát triển Điện năng Đức Long Gia Lai,Công ty nhận đầu tư,
Công ty CP Đầu tư và KD Bất động sản Đức Long Gia Lai,Công ty CP Đầu tư và KD Bất động sản Đức Long Gia Lai,Công ty CP Đầu tư và KD Bất động sản Đức Long Gia Lai,Công ty nhận đầu tư,
Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty CP Dịch vụ công cộng Đức Long Bảo Lộc,Công ty nhận đầu tư,
Công ty CP Bamboo Capital,Công ty CP Bamboo Capital,Công ty CP Bamboo Capital,Chung TV HĐQT,
