row_label_raw,row_label_full,Chỉ tiêu,"Bán hàng hóa, thành phẩm","Bán gỗ, sẵn phẩm từ gỗ, cao su, NN",Kinh doanh phân bón,Công trình xây dựng,Dịch vụ bến xe và xe buýt,Hoạt động khai thác đá,"Dịch vụ khác (cho thuê TS , khách sạn...)",Tổng cộng,"numeric__Bán hàng hóa, thành phẩm","numeric__Bán gỗ, sẵn phẩm từ gỗ, cao su, NN",numeric__Kinh doanh phân bón,numeric__Công trình xây dựng,numeric__Dịch vụ bến xe và xe buýt,numeric__Hoạt động khai thác đá,"numeric__Dịch vụ khác (cho thuê TS , khách sạn...)",numeric__Tổng cộng
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,385.947.886.639,385.205.970.562,155.677.219.999,21.891.732.335,23.297.791.701,6.773.962.409,27.014.639.921,1.005.809.203.566,385947886639.0,385205970562.0,155677219999.0,21891732335.0,23297791701.0,6773962409.0,27014639921.0,1005809203566.0
Giá vốn của bộ phận,Giá vốn của bộ phận,Giá vốn của bộ phận,368.525.017.547,319.738.157.921,149.914.775.320,20.104.994.606,17.076.507.574,6.103.322.024,18.563.847.362,900.026.622.354,368525017547.0,319738157921.0,149914775320.0,20104994606.0,17076507574.0,6103322024.0,18563847362.0,900026622354.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,17.422.869.092,65.467.812.641,5.762.444.679,1.786.737.729,6.221.284.127,670.640.385,8.450.792.559,105.782.581.212,17422869092.0,65467812641.0,5762444679.0,1786737729.0,6221284127.0,670640385.0,8450792559.0,105782581212.0
Tài sản bộ phận tại ngày 31/12/2014,Tài sản bộ phận tại ngày 31/12/2014,Tài sản bộ phận tại ngày 31/12/2014,96.265.621.196,2.024.606.858.037,74.736.305.811,1.604.213.203.486,44.044.924.689,47.357.240.974,174.621.482.695,4.065.845.636.888,96265621196.0,2024606858037.0,74736305811.0,1604213203486.0,44044924689.0,47357240974.0,174621482695.0,4065845636888.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,40.818.668.425,,,,,,,,40818668425.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,4.106.664.305.313,,,,,,,,4106664305313.0
Nợ phải trả bộ phận tại ngày 31/12/2014,Nợ phải trả bộ phận tại ngày 31/12/2014,Nợ phải trả bộ phận tại ngày 31/12/2014,22.031.818.480,1.304.870.274.095,756.199.185,1.022.233.158.960,11.118.345.430,-,65.339.871.595,2.426.349.667.745,22031818480.0,1304870274095.0,756199185.0,1022233158960.0,11118345430.0,,65339871595.0,2426349667745.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,13.209.966.399,,,,,,,,13209966399.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,2.439.559.634.144,,,,,,,,2439559634144.0
Khấu hao và chi phí phân bổ,Khấu hao và chi phí phân bổ,Khấu hao và chi phí phân bổ,88.707.880,2.809.472.128,-,955.669.643,964.910.981,-,1.798.968.527,6.617.729.159,88707880.0,2809472128.0,,955669643.0,964910981.0,,1798968527.0,6617729159.0
- Khấu hao,- Khấu hao,- Khấu hao,88.707.880,2.682.860.923,-,555.086.322,964.910.981,-,1.534.310.012,5.825.876.118,88707880.0,2682860923.0,,555086322.0,964910981.0,,1534310012.0,5825876118.0
"- Chi phí phân bổ 142, 242","- Chi phí phân bổ 142, 242","- Chi phí phân bổ 142, 242",-,126.611.205,-,400.583.321,-,-,264.658.515,791.853.041,,126611205.0,,400583321.0,,,264658515.0,791853041.0
