row_label_raw,row_label_full,col_0,Giá gốc,Giá trị có thể thu hồi,Thời gian quá hạn,Ghi chú,numeric__Giá gốc,numeric__Giá trị có thể thu hồi,numeric__Thời gian quá hạn,numeric__Ghi chú
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,3.892.140.400,8.242.635,,,3892140400.0,8242635.0,,
- Công ty TNHH Nam Thuận,- Công ty TNHH Nam Thuận,- Công ty TNHH Nam Thuận,533.661.700,-,Trên 3 năm,Đang khởi kiện,533661700.0,,,
- Công ty VACHETTI GIUSEPPE S.P.A,- Công ty VACHETTI GIUSEPPE S.P.A,- Công ty VACHETTI GIUSEPPE S.P.A,636.431.769,,Trên 3 năm,Không còn giao dịch với khách hàng,636431769.0,,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,2.722.046.931,8.242.635,,"Công nợ tồn tại lâu, khó thu hồi",2722046931.0,8242635.0,,
Trà trước người bán,Trà trước người bán,Trà trước người bán,5.589.392.909,1.258.228.919,,,5589392909.0,1258228919.0,,
- Công ty TNHH TV TK Kiến Phát,- Công ty TNHH TV TK Kiến Phát,- Công ty TNHH TV TK Kiến Phát,1.490.000.000,,Trên 3 năm,Không thực hiện hợp đồng,1490000000.0,,,
- Viện Môi trường Và Tài nguyên,- Viện Môi trường Và Tài nguyên,- Viện Môi trường Và Tài nguyên,1.505.000.000,812.500.000,Từ 1-2 năm,Không thực hiện hợp đồng,1505000000.0,812500000.0,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,2.594.392.909,445.728.919,,Không thực hiện hợp đồng,2594392909.0,445728919.0,,
Tạm ứng,Tạm ứng,Tạm ứng,568.165.612,166.181.241,,,568165612.0,166181241.0,,
- Bùi Tịnh,- Bùi Tịnh,- Bùi Tịnh,212.744.976,106.372.488,Từ 1-2 năm,Đang thực hiện khấu trừ lương hàng tháng,212744976.0,106372488.0,,
- Lê Thế Kỳ,- Lê Thế Kỳ,- Lê Thế Kỳ,199.500.000,30.000.000,Từ 2-3 năm,Đang thực hiện khấu trừ lương hàng tháng,199500000.0,30000000.0,,
- Các đối tượng khác,- Các đối tượng khác,- Các đối tượng khác,155.920.636,29.808.753,,Đang thực hiện khấu trừ lương hàng tháng,155920636.0,29808753.0,,
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,100.000.000,70.000.000,,,100000000.0,70000000.0,,
- Nguyễn Thị Thanh Tuyên,- Nguyễn Thị Thanh Tuyên,- Nguyễn Thị Thanh Tuyên,100.000.000,70.000.000,Dưới 1 năm,"Công nợ tồn tại lâu, khó thu hồi",100000000.0,70000000.0,,
Phải thu khác,Phải thu khác,Phải thu khác,309.559.201,135.050.913,Dưới 1 năm,"Công nợ tồn tại lâu, khó thu hồi",309559201.0,135050913.0,,
Cộng,Cộng,Cộng,10.459.258.122,1.637.703.708,,,10459258122.0,1637703708.0,,
