row_label_raw,row_label_full,col_0,Quyềnsử dụng đất (*),"Nhà cửa,vật kiến trúc",Cộng,numeric__Quyềnsử dụng đất (*),"numeric__Nhà cửa,vật kiến trúc",numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,66.720.417.973,57.490.038.178,124.210.456.151,66720417973.0,57490038178.0,124210456151.0
Tăng trong kỳ,Tăng trong kỳ,Tăng trong kỳ,-,-,-,,,
Giảm do thoái vốn,Tăng trong kỳ > Giảm do thoái vốn,Giảm do thoái vốn,-,2.898.571.695,2.898.571.695,,2898571695.0,2898571695.0
Số cuối kỳ,Tăng trong kỳ > Số cuối kỳ,Số cuối kỳ,66.720.417.973,54.591.466.483,121.311.884.456,66720417973.0,54591466483.0,121311884456.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,-,11.346.736.286,11.346.736.286,,11346736286.0,11346736286.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,-,2.238.823.284,2.238.823.284,,2238823284.0,2238823284.0
Giảm do thoái vốn,Khấu hao > Giảm do thoái vốn,Giảm do thoái vốn,-,1.201.753.760,1.201.753.760,,1201753760.0,1201753760.0
Số cuối kỳ,Khấu hao > Số cuối kỳ,Số cuối kỳ,-,12.383.805.810,12.383.805.810,,12383805810.0,12383805810.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,66.720.417.973,46.143.301.892,112.863.719.865,66720417973.0,46143301892.0,112863719865.0
Số đánh giá lại cuối kỳ,Giá trị còn lại > Số đánh giá lại cuối kỳ,Số đánh giá lại cuối kỳ,66.720.417.973,42.207.660.673,108.928.078.646,66720417973.0,42207660673.0,108928078646.0
