row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,P.tiện vận tảitruyền dẫn,"Thiết bị, dụngcụ quản lý",TSCĐkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__P.tiện vận tảitruyền dẫn,"numeric__Thiết bị, dụngcụ quản lý",numeric__TSCĐkhác,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu kỳ,Nguyên giá > Số đầu kỳ,Số đầu kỳ,166.894.679.820,19.307.795.911,35.154.935.285,625.419.740,-,221.982.830.756,166894679820.0,19307795911.0,35154935285.0,625419740.0,,221982830756.0
Tăng do hợp nhất,Nguyên giá > Tăng do hợp nhất,Tăng do hợp nhất,26.064.413.037,251.853.897.666,3.162.426.666,25.318.005.426,-,306.398.742.795,26064413037.0,251853897666.0,3162426666.0,25318005426.0,,306398742795.0
Mua trong kỳ,Nguyên giá > Mua trong kỳ,Mua trong kỳ,4.995.806.858,22.124.994.856,2.358.070.910,497.370.088,19.367.407.640,49.343.650.352,4995806858.0,22124994856.0,2358070910.0,497370088.0,19367407640.0,49343650352.0
XDCB hoàn thành,Nguyên giá > XDCB hoàn thành,XDCB hoàn thành,63.480.926.599,20.790.365.000,-,-,2.275.658.995.396,2.359.930.286.995,63480926599.0,20790365000.0,,,2275658995396.0,2359930286995.0
CL do chuyển đổi,Nguyên giá > CL do chuyển đổi,CL do chuyển đổi,774.492.620,8.085.244.129,100.019.891,805.892.872,-,9.765.649.512,774492620.0,8085244129.0,100019891.0,805892872.0,,9765649512.0
"Thanh lý, nhượng bár","Nguyên giá > Thanh lý, nhượng bár","Thanh lý, nhượng bár",-,-,380.952.381,20.643.936,-,401.596.317,,,380952381.0,20643936.0,,401596317.0
Giảm do thoái vốn,Nguyên giá > Giảm do thoái vốn,Giảm do thoái vốn,77.663.523.959,30.794.965.925,1.008.226.067,-,271.143.705,109.737.859.656,77663523959.0,30794965925.0,1008226067.0,,271143705.0,109737859656.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,-,42.857.000,-,-,,42.857.000,,42857000.0,,,,42857000.0
Số cuối kỳ,Nguyên giá > Số cuối kỳ,Số cuối kỳ,184.546.794.975,291.324.474.637,39.386.274.304,27.226.044.190,2.294.755.259.331,2.837.238.847.437,184546794975.0,291324474637.0,39386274304.0,27226044190.0,2294755259331.0,2837238847437.0
Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,Khấu hao,,,,,,
Số đầu kỳ,Khấu hao > Số đầu kỳ,Số đầu kỳ,29.225.999.642,6.533.182.111,17.365.793.933,575.531.375,-,53.700.507.061,29225999642.0,6533182111.0,17365793933.0,575531375.0,,53700507061.0
Tăng do hợp nhất,Khấu hao > Tăng do hợp nhất,Tăng do hợp nhất,17.884.500.236,247.769.838.162,3.162.426.666,6.319.509.546,-,275.136.274.610,17884500236.0,247769838162.0,3162426666.0,6319509546.0,,275136274610.0
Khấu hao trong kỳ,Khấu hao > Khấu hao trong kỳ,Khấu hao trong kỳ,9.110.851.224,8.479.679.436,3.964.408.859,993.068.130,20.333.652.795,42.881.660.444,9110851224.0,8479679436.0,3964408859.0,993068130.0,20333652795.0,42881660444.0
CL do chuyển đổi,Khấu hao > CL do chuyển đổi,CL do chuyển đổi,533.266.559,7.899.008.999,100.019.891,210.208.310,-,8.742.503.759,533266559.0,7899008999.0,100019891.0,210208310.0,,8742503759.0
"Thanh lý, nhượng bár","Khấu hao > Thanh lý, nhượng bár","Thanh lý, nhượng bár",-,-,301.587.304,4.730.184,-,306.317.488,,,301587304.0,4730184.0,,306317488.0
Giảm do thoái vốn,Khấu hao > Giảm do thoái vốn,Giảm do thoái vốn,6.419.936.738,7.457.564.532,838.840.674,-,18.022.450,14.734.364.394,6419936738.0,7457564532.0,838840674.0,,18022450.0,14734364394.0
Giảm khác,Khấu hao > Giảm khác,Giảm khác,-,42.857.000,355.870.614,-,-,398.727.614,,42857000.0,355870614.0,,,398727614.0
Số cuối kỳ,Khấu hao > Số cuối kỳ,Số cuối kỳ,50.334.680.923,263.181.287.176,23.096.350.757,8.093.587.177,20.315.630.345,365.021.536.378,50334680923.0,263181287176.0,23096350757.0,8093587177.0,20315630345.0,365021536378.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,137.668.680.178,12.774.613.800,17.789.141.352,49.888.365,-,168.282.323.695,137668680178.0,12774613800.0,17789141352.0,49888365.0,,168282323695.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,134.212.114.052,28.143.187.461,16.289.923.547,19.132.457.013,2.274.439.628.986,2.472.217.311.059,134212114052.0,28143187461.0,16289923547.0,19132457013.0,2274439628986.0,2472217311059.0
