row_label_raw,row_label_full,col_0,Đầu kỳ,Số phải nộp trong kỳ,Số thực nộp trong kỳ,Giảm do HN,Số cuối kỳ,numeric__Đầu kỳ,numeric__Số phải nộp trong kỳ,numeric__Số thực nộp trong kỳ,numeric__Giảm do HN,numeric__Số cuối kỳ
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,34.907.126,-,-,4.447.653,30.459.473,34907126.0,,,4447653.0,30459473.0
"Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất","Thuế nhà đất, tiền thuê đất",-,14.005.746,486.355.746,-,472.350.000,,14005746.0,486355746.0,,472350000.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,3.525.784,8.473.350,7.000.000,-,2.052.434,3525784.0,8473350.0,7000000.0,,2052434.0
Cộng,Cộng,Cộng,38.432.910,22.479.096,493.355.746,4.447.653,504.861.907,38432910.0,22479096.0,493355746.0,4447653.0,504861907.0
