row_label_raw,row_label_full,STT,CHÌ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHÌ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,16.079.038,108.076.414,,17.0,16079038.0,108076414.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,74.794.122,68.089.338,,18.0,74794122.0,68089338.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,36.812.963,24.808.244,,,36812963.0,24808244.0
2.,B. > 2.,2.,Vay các TCTD khác,,37.981.159,43.281.094,,,37981159.0,43281094.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,1.205.745.447,1.094.708.437,,19.0,1205745447.0,1094708437.0
IV.,B. > IV.,IV.,"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",20,12.853.270,12.386.421,,20.0,12853270.0,12386421.0
V.,B. > V.,V.,Phát hành giấy tờ có giá,21,63.186.692,62.772.362,,21.0,63186692.0,62772362.0
VI.,B. > VI.,VI.,Các khoản nợ khác,22,30.385.532,32.929.209,,22.0,30385532.0,32929209.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,22.074.346,24.362.729,,,22074346.0,24362729.0
2.,B. > 2.,2.,Các khoản phải trả và công nợ khác,,8.311.186,8.566.480,,,8311186.0,8566480.0
,,,TỔNG NỘ PHẢI TRẢ,,1.403.044.101,1.378.962.181,,,1403044101.0,1378962181.0
VII.,VII.,VII.,Vốn và các quỹ,,,,,,,
1.,VII. > 1.,1.,Vốn của Ngân hàng,24,54.512.562,54.512.562,,24.0,54512562.0,54512562.0
,,,Vốn điều lệ,,40.220.180,40.220.180,,,40220180.0,40220180.0
,,,Thặng dư vốn cổ phần,,14.292.382,14.292.382,,,14292382.0,14292382.0
2.,VII. > 2.,2.,Quỹ của Ngân hàng,24,7.714.412,5.464.395,,24.0,7714412.0,5464395.0
3.,VII. > 3.,3.,Lợi nhuận chưa phân phối,24,12.007.773,12.658.901,,24.0,12007773.0,12658901.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,74.234.747,72.635.858,,,74234747.0,72635858.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.477.278.848,1.451.598.039,,,1477278848.0,1451598039.0
