row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,40.220.180,14.292.382,3.641.713,1.822.682,-,12.658.901,72.635.858,40220180.0,14292382.0,3641713.0,1822682.0,,12658901.0,72635858.0
Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,-,6.690.239,6.690.239,,,,,,6690239.0,6690239.0
Trích các quỹ trong năm,Trích các quỹ trong năm,Trích các quỹ trong năm,-,-,1.495.659,754.556,-,(2.250.215),-,,,1495659.0,754556.0,,-2250215.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,(198),-,-,-,(198),,,-198.0,,,,-198.0
"Tạm trích quỹ khen thưởng, phúc lợi 2020","Tạm trích quỹ khen thưởng, phúc lợi 2020","Tạm trích quỹ khen thưởng, phúc lợi 2020",-,-,-,-,-,(1.175.000),(1.175.000),,,,,,-1175000.0,-1175000.0
"Trích bổ sung quỹ khen thưởng, phúc lợi 2018 - 2019","Trích bổ sung quỹ khen thưởng, phúc lợi 2018 - 2019","Trích bổ sung quỹ khen thưởng, phúc lợi 2018 - 2019",,,,,,(688.828),(688.828),,,,,,-688828.0,-688828.0
Trả cổ tức cho cổ đông (Thuyết minh số 24.4),Trả cổ tức cho cổ đông (Thuyết minh số 24.4),Trả cổ tức cho cổ đông (Thuyết minh số 24.4),-,-,-,-,-,(3.217.614),(3.217.614),,,,,,-3217614.0,-3217614.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(9.710),(9.710),,,,,,-9710.0,-9710.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,40.220.180,14.292.382,5.137.174,2.577.238,-,12.007.773,74.234.747,40220180.0,14292382.0,5137174.0,2577238.0,,12007773.0,74234747.0
