row_label_raw,row_label_full,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bị dụngcụ quản lý,TSCĐ khác,Tổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bị dụngcụ quản lý,numeric__TSCĐ khác,numeric__Tổng cộng
Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
5.849.039,Triệu VND > 5.849.039,5.849.039,4.131.275,1.179.757,159.632,112.377,11.432.080,4131275.0,1179757.0,159632.0,112377.0,11432080.0
45.372,Triệu VND > 45.372,45.372,145.343,113.310,4.628,7.189,315.842,145343.0,113310.0,4628.0,7189.0,315842.0
123.653,Triệu VND > 123.653,123.653,66.031,14.982,6.740,2.413,213.819,66031.0,14982.0,6740.0,2413.0,213819.0
-,Triệu VND > -,-,2.071,3.477,-,-,5.548,2071.0,3477.0,,,5548.0
(6.934),Triệu VND > (6.934),(6.934),(38.732),(36.253),(4.003),(4.445),(90.367),-38732.0,-36253.0,-4003.0,-4445.0,-90367.0
72.348,Triệu VND > 72.348,72.348,(1.947),4.044,683,457,75.585,-1947.0,4044.0,683.0,457.0,75585.0
6.083.478,Triệu VND > 6.083.478,6.083.478,4.304.041,1.279.317,167.680,117.991,11.952.507,4304041.0,1279317.0,167680.0,117991.0,11952507.0
1.785.129,Triệu VND > 1.785.129,1.785.129,3.049.057,812.236,122.890,85.922,5.855.234,3049057.0,812236.0,122890.0,85922.0,5855234.0
258.578,Triệu VND > 258.578,258.578,310.353,93.471,17.455,13.518,693.375,310353.0,93471.0,17455.0,13518.0,693375.0
-,Triệu VND > -,-,1.153,2.901,-,-,4.054,1153.0,2901.0,,,4054.0
(6.587),Triệu VND > (6.587),(6.587),(38.099),(36.064),(3.995),(4.358),(89.103),-38099.0,-36064.0,-3995.0,-4358.0,-89103.0
3.531,Triệu VND > 3.531,3.531,14.093,4.630,1.306,1.252,24.812,14093.0,4630.0,1306.0,1252.0,24812.0
2.040.651,Triệu VND > 2.040.651,2.040.651,3.336.557,877.174,137.656,96.334,6.488.372,3336557.0,877174.0,137656.0,96334.0,6488372.0
4.063.910,Triệu VND > 4.063.910,4.063.910,1.082.218,367.521,36.742,26.455,5.576.846,1082218.0,367521.0,36742.0,26455.0,5576846.0
4.042.827,Triệu VND > 4.042.827,4.042.827,967.484,402.143,30.024,21.657,5.464.135,967484.0,402143.0,30024.0,21657.0,5464135.0
