row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,25,97.823.448,98.037.233,,25.0,97823448.0,98037233.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,26,(63.573.497),(63.359.513),,26.0,-63573497.0,-63359513.0
I,I,I,Thu nhập lãi thuần,,34.249.951,34.677.720,,,34249951.0,34677720.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,6.542.407,5.987.897,,,6542407.0,5987897.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(2.077.408),(2.318.903),,,-2077408.0,-2318903.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,27,4.464.999,3.668.994,,27.0,4464999.0,3668994.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,28,1.700.945,1.460.701,,28.0,1700945.0,1460701.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,29.1,397.386,264.815,,291.0,397386.0,264815.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,29.2,1.513.693,481.702,,292.0,1513693.0,481702.0
5.,5.,5.,Thu nhập từ hoạt động khác,,7.920.218,6.386.152,,,7920218.0,6386152.0
6.,6.,6.,Chi phí từ hoạt động khác,,(2.866.016),(1.141.181),,,-2866016.0,-1141181.0
VI,VI,VI,Lãi thuần từ hoạt động khác,30,5.054.202,5.244.971,,30.0,5054202.0,5244971.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",31,157.570,248.738,,31.0,157570.0,248738.0
,,,Tổng thu nhập hoạt động,,47.538.746,46.047.641,,,47538746.0,46047641.0
7.,7.,7.,Chi phí nhân viên,,(9.379.579),(9.081.798),,,-9379579.0,-9081798.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(869.894),(912.640),,,-869894.0,-912640.0
9.,9.,9.,Chi phí hoạt động khác,,(6.094.738),(6.046.620),,,-6094738.0,-6046620.0
VIII,VIII,VIII,Tổng chi phí hoạt động,32,(16.344.211),(16.041.058),,32.0,-16344211.0,-16041058.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,31.194.535,30.006.583,,,31194535.0,30006583.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,"8, 12, 13.6",(22.864.244),(19.698.460),,,-22864244.0,-19698460.0
XI,XI,XI,Tổng lợi nhuận trước thuế,,8.330.291,10.308.123,,,8330291.0,10308123.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,33,(1.640.000),(2.018.570),,33.0,-1640000.0,-2018570.0
11.,11.,11.,Chi phí/Thu nhập thuế TNDN hoãn lại,,(52),1.002,,,-52.0,1002.0
XII,XII,XII,Chi phí thuế TNDN,,(1.640.052),(2.017.568),,,-1640052.0,-2017568.0
XIII,XIII,XIII,Lợi nhuận sau thuế,,6.690.239,8.290.555,,,6690239.0,8290555.0
