row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ trên 1 tháng đến 3 tháng,Từ trên 3 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,11.600.808,-,-,-,-,11.600.808,,,11600808.0,,,,,11600808.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,45.462.011,-,-,-,-,45.462.011,,,45462011.0,,,,,45462011.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),1.023,-,40.023.235,14.755.436,6.889.706,6.131.259,22.966.481,90.767.140,1023.0,,40023235.0,14755436.0,6889706.0,6131259.0,22966481.0,90767140.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,-,-,271.279,9.002.263,-,-,9.273.542,,,,271279.0,9002263.0,,,9273542.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,2.022,31.233,132.101,2.577,-,167.933,,,2022.0,31233.0,132101.0,2577.0,,167933.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),13.198.451,1.209.790,82.857.638,226.236.646,443.845.635,213.262.645,198.072.653,1.178.683.458,13198451.0,1209790.0,82857638.0,226236646.0,443845635.0,213262645.0,198072653.0,1178683458.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),366.000,583.000,635.436,8.608.870,30.859.232,29.048.702,52.954.006,123.055.246,366000.0,583000.0,635436.0,8608870.0,30859232.0,29048702.0,52954006.0,123055246.0
"Góp vốn, đầu tư dài hạn (*)","Tài sản > Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)",-,-,-,-,-,-,8.197.634,8.197.634,,,,,,,8197634.0,8197634.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,9.559.041,9.559.041,,,,,,,9559041.0,9559041.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),400.051,-,2.804.797,3.738.589,9.775.864,2.507.483,602.590,19.829.374,400051.0,,2804797.0,3738589.0,9775864.0,2507483.0,602590.0,19829374.0
