row_label_raw,row_label_full,col_0,Tổng dư nợ cho vay,Tổng tiền gửi,Các cam kết ngoại bảng,CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC),numeric__Tổng dư nợ cho vay,numeric__Tổng tiền gửi,numeric__Các cam kết ngoại bảng,numeric__CCTC phải sinh (Tổng giá trị giao dịch theo hợp đồng),numeric__Kinh doanh và đầu tư chứng khoán (Chênh lệch DN-DC)
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Trong nước,Trong nước,Trong nước,"1,201,963,043","1,247,799,089","256,163,543","167,933","132,308,455",,,,167.933,
Nước ngoài,Nước ngoài,Nước ngoài,"591,361","906,012","68,772",-,"20,333",591.361,906.012,68.772,,20.333
